Anemone baldensis
Anemone biamiensis
Anemone biflora
Anemone blanda
Anemone caucasica
Anemone crinita
Anemone cylindrica
Anemone demissa
Anemone drummondi
Anemone fasciculata
Anemone fasciculatum v. roseum
Anemone japonica
Anemone kurilensis
Anemone lesseri
Anemone loesseri rubra
Anemone magellanica
Anemone multifida
Anemone narcissiflora 'zephyra'
Anemone narcissiflora
Anemone nemorosa
Anemone obtusiloba
Anemone occidentalis
Anemone palmata
Anemone pavoniana
Anemone polyanthes
Anemone ranunculoides 
Anemone ranunculoides
Anemone rivularis
Anemone rupicola
Anemone sylvestris
Anemone tetonensis
Anemone tetrasepala
Anemone vitifolia
Anemonella thalictroides
Anemonopsis macrophylla
Anethum graveolens
Angelica archangelica
Angelica gigas
Angelica grayi
Anigozanthos falvidus
Anigozanthos flavidus
Anigozanthos manglesii
Anisodontea capensis 
Anisotome aromatica
Anisotome haastii
Annona cherimola
Annona cherimosa
Anoda sp.
Anthemis montana
Anthericum liliago
Anthericum racemosum
Anthericum torreyi
Anthriscus cerefolium
Anthyllis montana
Anthyllis vulneraria
Antigon leptopus
Antirrhinum major
Antirrhinum majus
Aphananthe aspersa
Apium graveolens
Aquilegia akitensis
Aquilegia atravinosa
Aquilegia barnebyi
Aquilegia canadensis
Aquilegia chrysantha
Aquilegia coerulea
Aquilegia discolor
Aquilegia elegantula
Aquilegia eximia
Aquilegia flabellata nana
Aquilegia flavescens
Aquilegia formosa
Aquilegia fragrans
Aquilegia japonica
Aquilegia jonesii x saximontana
Aquilegia jonesii
Aquilegia jucunda
Aquilegia laramiensis
Aquilegia micrantha
Aquilegia olympica
Aquilegia pyrenaica
Aquilegia saximontana
Aquilegia scopulorum
Aquilegia skinneri
Aquilegia sp. (Darwas)
Aquilegia tridentata
Aquilegia vulgaris
Arabis albida
Arabis alpina
Arabis bellidifolia
Arabis blepharophylla
Arabis petraea
Arabis pumila
Arabis purpurea
Aralia californica
Aralia elata
Aralia hispida
Aralia nudicaulis
Aralia racemosa
Araujia seridifera
Arbutus menziesii
Arctium lappa
Arctomecon californica
Arctomecon humilis
Arctostaphylos columbiana x uva-ursi
Arctostaphylos crustacea
Arctostaphylos nevadensis
Arctostaphylos patula
Arctostaphylos pungens
Arctostaphylos uva-ursi
Ardisia crenata
Ardisia crispa
Arenaria caroliniana
Arenaria hookeri
Arenaria kingii
Arenaria norvegica
Arenaria polaris
Arenaria procera
Arenaria pseudoacantholimon
Arenaria purpurescens
Arenaria saxosa
Arenaria stricta
Arenaria tmolea
Arequipa erectocylindrica
Arequipa sp. 'tachna'
Arequipa weingartiana
Arethusa bulbosa
Argemone grandiflora
Argemone hispida
Argemone munita
Argemone pleicantha
Argylia adscendens
Argylia potentillifolia
Argylia sp.
Argyranthemum sp.
Argyreia nervosa
Argyroderma congregatum
Ariocarpus agavoides
Ariocarpus kotschoubeyanus
Ariocarpus retusus
Ariocarpus trigonus
Arisaema amurense
Arisaema consanguineum
Arisaema dracontium
Arisaema flavum
Arisaema jacquemonti
Arisaema nepenthioides
Arisaema quinata
Arisaema quinquifolium
Arisaema sikokianum
Arisaema thunbergii
Arisaema tortuosum
Arisaema triphyllum
Aristea ecklonii
Aristolochia baetica
Aristolochia macrophylla
Aristolochia serpentaria
Aristotelia fruticosa x serrata
Armataocereus matulanensis
Armenaica sibirica
Armeria caespitosa
Armeria corsica
Armeria maritima
Armeria tweedyi
Arnebia echioides
Arnebia euchroma
Arnica frigida
Arnica montana
Aronia arbutifolia
Aronia melanocarpa
Artemesia pamirica
Artemisia caucasica
Artemisia frigida
Artemisia pamirica
Arthropodium cirrhatum 
Arthropodium cirrhatum
Arum concinnatum
Arum cyrenaicum
Arum dioscoridis
Arum italicum
Arum maculatum
Arum nigrum
Aruncus dioicus
Aruncus sylvestris
Asarina barclaiana
Asarina procumbens
Asarina purpusii
Asarum canadensis
Asarum europaeus
Asclepias cordifolia
Asclepias cryptoceras
Asclepias erosa
Asclepias incarnata
Asclepias phytolaccoides
Asclepias quadrifolia
Asclepias speciosa
Asclepias syriacus
Asclepias tuberosa
Asclepias viridiflorus
Asimina triloba
Asparagus officinalis
Asparagus sprengeri
Asperula arvensis
Asperula orientalis
Asperula pontica
Asperula tinctoria
Asphodeline brevicaulis
Asphodeline liburnica
Asphodeline lutea
Asphodeline microcarpus
Asphodelus aestivus
Asphodelus albus
Asphodelus cerasiferus
Asphodelus fistulosus
Asphodelus luteus
Asphodelus microcarpus
Asphodelus ramosus
Astelboides
Astelia nervosa
Aster alpellus
Aster alpigenus v haydenii
Aster alpinus
Aster bigelovii
Aster brachytrichus
Aster coloradoensis
Aster ericoides
Aster farreri
Aster himalaicus
Aster likiangensis
Aster nova-anglae
Aster oblongifolius
Aster sibirica
Aster tibeticus
Asteromoa mongolica
