"n","f","taxon"
3488,"Iridaceae","SISYRINCHIUM californicum"
3489,"Iridaceae","SISYRINCHIUM chilense"
3490,"Iridaceae","SISYRINCHIUM depauperatum"
3491,"Iridaceae","SISYRINCHIUM idahoense"
3492,"Iridaceae","SISYRINCHIUM idahoense f. album"
3493,"Iridaceae","SISYRINCHIUM idahoense subsp. bellum var.  'Rocky Point'"
3494,"Iridaceae","SISYRINCHIUM macrocarpum"
3495,"Iridaceae","SISYRINCHIUM micranthum"
3496,"Iridaceae","SISYRINCHIUM montanum"
3497,"Iridaceae","SISYRINCHIUM palmifolium"
3485,"Iridaceae","SISYRINCHIUM sp. white"
3498,"Iridaceae","SISYRINCHIUM striatum"
3519,"Iridaceae","SPARAXIS roxburghii"
3520,"Iridaceae","SPARAXIS villosa"
3521,"Amaryllidaceae","SPILOXENE canaliculata ?"
3523,"Amaryllidaceae","SPREKELIA formosissima"
3534,"Amaryllidaceae","STERNBERGIA greuteriana"
3535,"Amaryllidaceae","STERNBERGIA greuteriana aff. ex Karpathos"
3536,"Amaryllidaceae","STERNBERGIA lutea"
3537,"Amaryllidaceae","STERNBERGIA sicula"
3538,"Amaryllidaceae","STERNBERGIA sicula 'John Marr' JRM3186/75"
3567,"Tecophilaeaceae","TECOPHILAEA cyanocrocus"
3568,"Tecophilaeaceae","TECOPHILAEA cyanocrocus mixed forms"
3569,"Tecophilaeaceae","TECOPHILAEA violiflora"
3604,"Iridaceae","TIGRIDIA pavonia"
3605,"Iridaceae","TIGRIDIA pavonia 'Lilacea'"
3606,"Iridaceae","TIGRIDIA pringlei"
3607,"Iridaceae","TIGRIDIA van-houttei"
5312,"Melanthiaceae","TOXICOSCORDION fremontii cf."
5313,"Melanthiaceae","TOXICOSCORDION venenosum"
3627,"Liliaceae","TRICYRTIS formosana"
3628,"Liliaceae","TRICYRTIS formosana 'Autumn Glow'"
3629,"Liliaceae","TRICYRTIS hirta"
3630,"Liliaceae","TRICYRTIS latifolia"
5315,"Primulaceae","TRIENTALIS europaea"
3631,"Fabaceae","TRIFOLIUM trichocephalum"
3632,"Melanthiaceae","TRILLIUM albidum"
3633,"Melanthiaceae","TRILLIUM angustipetalum"
3634,"Melanthiaceae","TRILLIUM cernuum"
3635,"Melanthiaceae","TRILLIUM chloropetalum"
3636,"Melanthiaceae","TRILLIUM chloropetalum red"
3637,"Melanthiaceae","TRILLIUM chloropetalum var. giganteum"
3638,"Melanthiaceae","TRILLIUM chloropetalum var. giganteum best leaf form"
3639,"Melanthiaceae","TRILLIUM cuneatum"
3640,"Melanthiaceae","TRILLIUM erectum"
3641,"Melanthiaceae","TRILLIUM erectum cream"
3642,"Melanthiaceae","TRILLIUM erectum dark red short"
3643,"Melanthiaceae","TRILLIUM erectum pale pink"
5316,"Melanthiaceae","TRILLIUM erectum red"
3644,"Melanthiaceae","TRILLIUM flexipes"
3645,"Melanthiaceae","TRILLIUM grandiflorum"
3646,"Melanthiaceae","TRILLIUM grandiflorum f. roseum"
3647,"Melanthiaceae","TRILLIUM kurabayashii"
3648,"Melanthiaceae","TRILLIUM kurabayashii hybrid"
3649,"Melanthiaceae","TRILLIUM ovatum"
3650,"Melanthiaceae","TRILLIUM ovatum subsp. hibbersonii"
3651,"Melanthiaceae","TRILLIUM parviflorum"
3652,"Melanthiaceae","TRILLIUM parviflorum x kurabayashii"
3653,"Melanthiaceae","TRILLIUM recurvatum"
3655,"Melanthiaceae","TRILLIUM rivale 'Purple Heart' JCA1.922.321"
3656,"Melanthiaceae","TRILLIUM rivale f. rosea"
3654,"Melanthiaceae","TRILLIUM rivale spotted"
3657,"Melanthiaceae","TRILLIUM sessile"
3658,"Melanthiaceae","TRILLIUM simile"
3659,"Melanthiaceae","TRILLIUM sulcatum"
3660,"Melanthiaceae","TRILLIUM undulatum"
3663,"Amaryllidaceae","TRISTAGMA bivalve"
3664,"Amaryllidaceae","TRISTAGMA leichtlinii"
3665,"Amaryllidaceae","TRISTAGMA sessile"
5317,"Asphodelaceae","TRITELEIA bridgesii"
3666,"Asphodelaceae","TRITELEIA hendersonii"
5318,"Asphodelaceae","TRITELEIA hyacinthina"
3667,"Asphodelaceae","TRITELEIA ixioides subsp. anilina NNS02-321"
3668,"Asphodelaceae","TRITELEIA ixioides subsp. scabra"
5319,"Asphodelaceae","TRITELEIA laxa"
3669,"Asphodelaceae","TRITELEIA laxa 'Dexter'"
3670,"Asphodelaceae","TRITELEIA laxa 'Koningin Fabiola'"
3671,"Asphodelaceae","TRITELEIA peduncularis"
5320,"Asphodelaceae","TRITELEIA peduncularis"
3672,"Iridaceae","TRITONIA disticha"
3684,"Tropaeolaceae","TROPAEOLUM austropurpureum"
