"n","f","taxon"
480,"Araceae","ARUM dioscoridis"
481,"Araceae","ARUM dioscoridis subsp. syriacum"
483,"Araceae","ARUM hygrophilum"
482,"Araceae","ARUM hygrophilum"
484,"Araceae","ARUM italicum"
485,"Araceae","ARUM italicum subsp. italicum 'Marmoratum'"
486,"Araceae","ARUM maculatum"
487,"Araceae","ARUM orientale"
488,"Araceae","ARUM pictum"
489,"Araceae","ARUM purpureospathum"
490,"Araceae","ARUM purpureospathum"
474,"Araceae","ARUM sp."
5045,"Apocynaceae","ASCLEPIAS eriocarpa cf."
5046,"Apocynaceae","ASCLEPIAS eriocarpa/californica  mix?"
494,"Apocynaceae","ASCLEPIAS syriaca"
495,"Apocynaceae","ASCLEPIAS tuberosa"
498,"Asphodelaceae","ASPHODELINE liburnica"
499,"Asphodelaceae","ASPHODELINE lutea"
501,"Asphodelaceae","ASPHODELUS acaulis"
502,"Asphodelaceae","ASPHODELUS albus"
503,"Asphodelaceae","ASPHODELUS albus subsp. villarsii"
504,"Asphodelaceae","ASPHODELUS cerasiferus"
505,"Asphodelaceae","ASPHODELUS fistulosus"
506,"Asphodelaceae","ASPHODELUS microcarpus"
500,"Asphodelaceae","ASPHODELUS sp. yellow 60cm"
537,"Iridaceae","BABIANA rubrocyanea"
538,"Iridaceae","BABIANA stricta"
544,"Asphodelaceae","BARNARDIA japonica"
547,"Begoniaceae","BEGONIA pedatifida"
548,"Asphodelaceae","BELLEVALIA crassa aff. ex RR Wallis"
549,"Asphodelaceae","BELLEVALIA dubia subsp. hackelii"
550,"Asphodelaceae","BELLEVALIA hyacinthoides"
551,"Asphodelaceae","BELLEVALIA paradoxa"
552,"Asphodelaceae","BELLEVALIA pycnantha"
553,"Asphodelaceae","BELLEVALIA pycnantha 'Green Pearl'"
554,"Asphodelaceae","BELLEVALIA romana"
562,"Araceae","BIARUM tenuifolium subsp. abbreviatum"
565,"Orchidaceae","BLETILLA striata"
566,"Asphodelaceae","BLOOMERIA crocea"
569,"Alstroemeriaceae","BOMAREA caldasii"
568,"Alstroemeriaceae","BOMAREA sp. yellow  non-climbing"
576,"Asphodelaceae","BRIMEURA amethystina"
577,"Asphodelaceae","BRIMEURA amethystina dwarf exJJA"
578,"Asphodelaceae","BRIMEURA amethystina ex Hautes Pyrenees"
579,"Asphodelaceae","BRIMEURA amethystina f. alba"
5061,"Asphodelaceae","BRODIAEA californica"
582,"Asphodelaceae","BRODIAEA coronaria"
583,"Asphodelaceae","BRODIAEA elegans"
584,"Asphodelaceae","BRODIAEA jolonensis"
585,"Asphodelaceae","BRODIAEA stellaris"
591,"Asphodelaceae","BULBINE bulbosa"
592,"Asphodelaceae","BULBINE semibarbata"
593,"Asphodelaceae","BULBINELLA hookeri"
5062,"Liliaceae","CALOCHORTUS albus"
612,"Liliaceae","CALOCHORTUS albus subsp. rubellus"
5063,"Liliaceae","CALOCHORTUS amabilis"
613,"Liliaceae","CALOCHORTUS catalinae"
614,"Liliaceae","CALOCHORTUS clavatus"
615,"Liliaceae","CALOCHORTUS ghiesbreghtii"
5064,"Liliaceae","CALOCHORTUS invenustus"
5065,"Liliaceae","CALOCHORTUS invenustus cf."
5066,"Liliaceae","CALOCHORTUS leichtlinii"
5067,"Liliaceae","CALOCHORTUS luteus x superbus"
5068,"Liliaceae","CALOCHORTUS macrocarpus subsp. macrocarpus"
616,"Liliaceae","CALOCHORTUS obispoensis"
617,"Liliaceae","CALOCHORTUS palmeri"
5069,"Liliaceae","CALOCHORTUS palmeri subsp. palmeri"
618,"Liliaceae","CALOCHORTUS simulans"
619,"Liliaceae","CALOCHORTUS splendens"
5070,"Liliaceae","CALOCHORTUS splendens cf."
620,"Liliaceae","CALOCHORTUS striatus"
5071,"Liliaceae","CALOCHORTUS superbus"
621,"Liliaceae","CALOCHORTUS tiburonensis"
622,"Liliaceae","CALOCHORTUS venustus 'Cuddy Creek reds'"
623,"Liliaceae","CALOCHORTUS weedii subsp. weedii"
630,"Asphodelaceae","CAMASSIA cusickii"
631,"Asphodelaceae","CAMASSIA leichtlinii"
632,"Asphodelaceae","CAMASSIA leichtlinii cream"
635,"Asphodelaceae","CAMASSIA leichtlinii f. alba"
633,"Asphodelaceae","CAMASSIA leichtlinii mixed"
634,"Asphodelaceae","CAMASSIA leichtlinii pink"
636,"Asphodelaceae","CAMASSIA leichtlinii subsp. leichtlinii cream"
637,"Asphodelaceae","CAMASSIA leichtlinii subsp. suksdorfii"
638,"Asphodelaceae","CAMASSIA leichtlinii subsp. suksdorfii f. alba"
639,"Asphodelaceae","CAMASSIA quamash"
640,"Asphodelaceae","CAMASSIA quamash f. alba"
641,"Asphodelaceae","CAMASSIA quamash f. breviflora"
629,"Asphodelaceae","CAMASSIA sp. white"
716,"Cannaceae","CANNA brasiliensis"
719,"Brassicaceae","CARDAMINE enneaphyllos"
720,"Brassicaceae","CARDAMINE heptaphylla"
721,"Brassicaceae","CARDAMINE kitaibelii"
722,"Brassicaceae","CARDAMINE pentaphyllos"
723,"Liliaceae","CARDIOCRINUM cordatum"
724,"Liliaceae","CARDIOCRINUM cordatum subsp. glehnii"
725,"Liliaceae","CARDIOCRINUM giganteum"
726,"Liliaceae","CARDIOCRINUM giganteum subsp. yunnanense"
5076,"Orobanchaceae","CASTILLEJA angustifolia subsp. dubia"
5077,"Orobanchaceae","CASTILLEJA arachnoidea"
733,"Orobanchaceae","CASTILLEJA latifolia"
5078,"Orobanchaceae","CASTILLEJA linariifolia"
734,"Orobanchaceae","CASTILLEJA miniata x integra"
736,"Zingiberaceae","CAUTLEYA gracilis"
5103,"Asphodelaceae","CHLOROGALUM pomeridianum subsp. pomeridianum"
788,"Asphodelaceae","CHLOROPHYTUM saundersiae"
5111,"Liliaceae","CLINTONIA borealis"
860,"Amaryllidaceae","CLIVIA nobilis"
861,"Amaryllidaceae","CLIVIA nobilis orange"
862,"Campanulaceae","CODONOPSIS clematidea"
863,"Campanulaceae","CODONOPSIS convolvulacea"
864,"Campanulaceae","CODONOPSIS convolvulacea subsp. grey-wilsonii"
865,"Campanulaceae","CODONOPSIS convolvulacea subsp. grey-wilsonii 'Himal Snow'"
866,"Campanulaceae","CODONOPSIS convolvulacea subsp. grey-wilsonii 'Himal Snow'"
867,"Campanulaceae","CODONOPSIS forrestii"
868,"Campanulaceae","CODONOPSIS kawakamii"
869,"Campanulaceae","CODONOPSIS lanceolata"
870,"Campanulaceae","CODONOPSIS ovata"
871,"Campanulaceae","CODONOPSIS pilosula"
872,"Campanulaceae","CODONOPSIS subscaposa"
873,"Campanulaceae","CODONOPSIS vinciflora"
874,"Campanulaceae","CODONOPSIS viridiflora"
876,"Colchicaceae","COLCHICUM 'Glory of Heemstede'"
877,"Colchicaceae","COLCHICUM alpinum"
878,"Colchicaceae","COLCHICUM autumnale"
879,"Colchicaceae","COLCHICUM balansae"
880,"Colchicaceae","COLCHICUM boissieri"
881,"Colchicaceae","COLCHICUM byzantinum"
882,"Colchicaceae","COLCHICUM corsicum"
883,"Colchicaceae","COLCHICUM cupanii"
884,"Colchicaceae","COLCHICUM diampolis"
885,"Colchicaceae","COLCHICUM hungaricum"
886,"Colchicaceae","COLCHICUM kesselringii"
887,"Colchicaceae","COLCHICUM kotschyi"
888,"Colchicaceae","COLCHICUM laetum"
889,"Colchicaceae","COLCHICUM longifolium"
890,"Colchicaceae","COLCHICUM lusitanicum"
891,"Colchicaceae","COLCHICUM macrophyllum"
892,"Colchicaceae","COLCHICUM montanum"
893,"Colchicaceae","COLCHICUM multiflorum KEKE8508"
894,"Colchicaceae","COLCHICUM polyphyllum"
895,"Colchicaceae","COLCHICUM sfikasianum"
875,"Colchicaceae","COLCHICUM sp. (Merendera)"
896,"Colchicaceae","COLCHICUM speciosum"
898,"Colchicaceae","COLCHICUM speciosum 'Album'"
897,"Colchicaceae","COLCHICUM speciosum small form ex Georgia"
899,"Colchicaceae","COLCHICUM szovitsii 'Snow White'"
900,"Colchicaceae","COLCHICUM trigynum"
901,"Colchicaceae","COLCHICUM troodi"
907,"Commelinaceae","COMMELINA dianthifolia"
908,"Commelinaceae","COMMELINA dianthifolia 'Sapphirino'"
909,"Commelinaceae","COMMELINA tuberosa"
910,"Commelinaceae","COMMELINA tuberosa 'Coelestis Group'"
5112,"Asphodelaceae","CONVALLARIA majalis"
919,"Papaveraceae","CORYDALIS adunca"
920,"Papaveraceae","CORYDALIS artecristata"
921,"Papaveraceae","CORYDALIS barbisepala"
922,"Papaveraceae","CORYDALIS brunneovaginata"
923,"Papaveraceae","CORYDALIS bulleyana"
924,"Papaveraceae","CORYDALIS cheilanthifolia"
925,"Papaveraceae","CORYDALIS decipiens"
926,"Papaveraceae","CORYDALIS elata"
927,"Papaveraceae","CORYDALIS flexuosa 676"
928,"Papaveraceae","CORYDALIS foetida"
929,"Papaveraceae","CORYDALIS heterocarpa"
930,"Papaveraceae","CORYDALIS kokiana"
931,"Papaveraceae","CORYDALIS laucheana"
932,"Papaveraceae","CORYDALIS malkensis"
933,"Papaveraceae","CORYDALIS moupinensis"
934,"Papaveraceae","CORYDALIS nobilis"
935,"Papaveraceae","CORYDALIS nobilis cultivar A"
936,"Papaveraceae","CORYDALIS nobilis cultivar B"
937,"Papaveraceae","CORYDALIS ochroleuca"
938,"Papaveraceae","CORYDALIS ophiocarpa giant form"
939,"Papaveraceae","CORYDALIS pachycentra"
940,"Papaveraceae","CORYDALIS pallida"
941,"Papaveraceae","CORYDALIS petrophila"
942,"Papaveraceae","CORYDALIS pseudobarbisepala"
943,"Papaveraceae","CORYDALIS pseudorupestris"
944,"Papaveraceae","CORYDALIS quantmeyeriana pink"
945,"Papaveraceae","CORYDALIS rupestris"
946,"Papaveraceae","CORYDALIS sempervirens pink"
947,"Papaveraceae","CORYDALIS sempervirens white"
948,"Papaveraceae","CORYDALIS solida"
949,"Papaveraceae","CORYDALIS solida 'Beth Evans'"
950,"Papaveraceae","CORYDALIS stipulata"
951,"Papaveraceae","CORYDALIS taliensis mixed"
952,"Papaveraceae","CORYDALIS taliensis purple"
953,"Papaveraceae","CORYDALIS temulifolia"
954,"Papaveraceae","CORYDALIS terracina"
955,"Papaveraceae","CORYDALIS tomentella"
956,"Papaveraceae","CORYDALIS wilsonii"
957,"Asteraceae","COSMOS bipinnatus 'Cosmix Orange'"
958,"Asteraceae","COSMOS sulphureus Polidor mixed"
971,"Iridaceae","CROCOSMIA 'Lucifer'"
973,"Iridaceae","CROCOSMIA masoniorum"
972,"Iridaceae","CROCOSMIA x crocosmiiflora 'Coleton Fishacre'"
974,"Iridaceae","CROCUS 'Purple Heart'"
975,"Iridaceae","CROCUS abantensis"
976,"Iridaceae","CROCUS alatavicus"
977,"Iridaceae","CROCUS albiflorus"
978,"Iridaceae","CROCUS alexandri"
979,"Iridaceae","CROCUS angustifolius"
980,"Iridaceae","CROCUS asumaniae"
981,"Iridaceae","CROCUS banaticus"
982,"Iridaceae","CROCUS banaticus 'Snowdrift'"
983,"Iridaceae","CROCUS biflorus"
984,"Iridaceae","CROCUS cartwrightianus"
985,"Iridaceae","CROCUS caspius"
986,"Iridaceae","CROCUS clusii"
987,"Iridaceae","CROCUS dalmaticus 'Petrovac'"
988,"Iridaceae","CROCUS fleischeri"
989,"Iridaceae","CROCUS gilanicus"
990,"Iridaceae","CROCUS gilanicus x kotschyanus"
991,"Iridaceae","CROCUS goulimyi"
992,"Iridaceae","CROCUS goulimyi subsp. goulimyi 'Mani White'"
993,"Iridaceae","CROCUS goulimyi subsp. leucanthus"
995,"Iridaceae","CROCUS hadriaticus 'Jumbo'"
994,"Iridaceae","CROCUS hadriaticus dark tube"
996,"Iridaceae","CROCUS hartmannianus"
998,"Iridaceae","CROCUS heuffelianus"
997,"Iridaceae","CROCUS heuffelianus"
999,"Iridaceae","CROCUS kerndorffiorum"
1000,"Iridaceae","CROCUS kotschyanus"
1001,"Iridaceae","CROCUS kotschyanus subsp. suworowianus"
1002,"Iridaceae","CROCUS malyi"
1003,"Iridaceae","CROCUS mathewii"
1004,"Iridaceae","CROCUS michelsonii"
1005,"Iridaceae","CROCUS minutus"
1006,"Iridaceae","CROCUS niveus"
1007,"Iridaceae","CROCUS nudiflorus 'Orla'"
1008,"Iridaceae","CROCUS oreocreticus 'Florane'"
1009,"Iridaceae","CROCUS pallasii"
1010,"Iridaceae","CROCUS paschei"
1011,"Iridaceae","CROCUS pulchellus"
1012,"Iridaceae","CROCUS sieberi"
1013,"Iridaceae","CROCUS speciosus subsp. speciosus"
1014,"Iridaceae","CROCUS thomasii"
1015,"Iridaceae","CROCUS tommasinianus"
5121,"Iridaceae","CROCUS veluchensis"
1016,"Iridaceae","CROCUS vernus 'Grand Maitre'"
1017,"Iridaceae","CROCUS vernus subsp. albiflorus var.  'Delnice'"
1018,"Iridaceae","CROCUS versicolor"
1022,"Primulaceae","CYCLAMEN africanum"
1023,"Primulaceae","CYCLAMEN alpinum"
1024,"Primulaceae","CYCLAMEN balearicum"
1025,"Primulaceae","CYCLAMEN cilicium"
1026,"Primulaceae","CYCLAMEN cilicium KPPZ8050"
1027,"Primulaceae","CYCLAMEN cilicium f. album"
1028,"Primulaceae","CYCLAMEN colchicum"
1029,"Primulaceae","CYCLAMEN confusum"
1030,"Primulaceae","CYCLAMEN coum"
1038,"Primulaceae","CYCLAMEN coum 'Maurice Dryden'"
1039,"Primulaceae","CYCLAMEN coum 'Meaden's Crimson'"
1040,"Primulaceae","CYCLAMEN coum 'Porcelain'"
1041,"Primulaceae","CYCLAMEN coum 'Tilebarn Elizabeth'"
1031,"Primulaceae","CYCLAMEN coum CSE8397"
1033,"Primulaceae","CYCLAMEN coum NF5(11003)"
1032,"Primulaceae","CYCLAMEN coum ex Turkey Lake Abant"
1042,"Primulaceae","CYCLAMEN coum f. album silver leaf"
1034,"Primulaceae","CYCLAMEN coum pewter leaf"
1035,"Primulaceae","CYCLAMEN coum pink, green leaf"
1036,"Primulaceae","CYCLAMEN coum silver leaf"
1037,"Primulaceae","CYCLAMEN coum silver leaf purple fl"
1043,"Primulaceae","CYCLAMEN coum x drydeniae"
1044,"Primulaceae","CYCLAMEN creticum"
1045,"Primulaceae","CYCLAMEN cyprium"
1046,"Primulaceae","CYCLAMEN cyprium ES form"
1047,"Primulaceae","CYCLAMEN elegans"
1048,"Primulaceae","CYCLAMEN graecum"
1053,"Primulaceae","CYCLAMEN graecum 'Glyfada'"
1054,"Primulaceae","CYCLAMEN graecum 'Rhodopou'"
1050,"Primulaceae","CYCLAMEN graecum JJA363.022"
1051,"Primulaceae","CYCLAMEN graecum MELJ95065"
1049,"Primulaceae","CYCLAMEN graecum ex Monte Smith, Rhodes"
1055,"Primulaceae","CYCLAMEN graecum f. album JCA363.100"
1052,"Primulaceae","CYCLAMEN graecum ruby"
1056,"Primulaceae","CYCLAMEN graecum subsp. anatolicum"
1057,"Primulaceae","CYCLAMEN hederifolium"
1063,"Primulaceae","CYCLAMEN hederifolium 'Bowles Apollo'"
1064,"Primulaceae","CYCLAMEN hederifolium 'Lysander'"
1065,"Primulaceae","CYCLAMEN hederifolium 'Nettleton Silver'"
1066,"Primulaceae","CYCLAMEN hederifolium 'Red Sky'"
1067,"Primulaceae","CYCLAMEN hederifolium 'Ruby Glow'"
1068,"Primulaceae","CYCLAMEN hederifolium 'Ruby Strain'"
1069,"Primulaceae","CYCLAMEN hederifolium 'Silver Arrow'"
1070,"Primulaceae","CYCLAMEN hederifolium 'Silver Cloud'"
1071,"Primulaceae","CYCLAMEN hederifolium 'White Cloud'"
1058,"Primulaceae","CYCLAMEN hederifolium ex Croatia"
1072,"Primulaceae","CYCLAMEN hederifolium f. album"
1059,"Primulaceae","CYCLAMEN hederifolium long leaf"
1060,"Primulaceae","CYCLAMEN hederifolium pewter leaf"
1061,"Primulaceae","CYCLAMEN hederifolium silver leaf"
1073,"Primulaceae","CYCLAMEN hederifolium subsp. crassifolium"
1062,"Primulaceae","CYCLAMEN hederifolium white"
1075,"Primulaceae","CYCLAMEN intaminatum"
1076,"Primulaceae","CYCLAMEN libanoticum"
1078,"Primulaceae","CYCLAMEN mirabile"
1079,"Primulaceae","CYCLAMEN mirabile 'Tilebarn Nicholas'"
1080,"Primulaceae","CYCLAMEN parviflorum"
1081,"Primulaceae","CYCLAMEN persicum"
1082,"Primulaceae","CYCLAMEN persicum ex Israel high alt."
1083,"Primulaceae","CYCLAMEN persicum red (florists)"
1084,"Primulaceae","CYCLAMEN persicum white"
1085,"Primulaceae","CYCLAMEN pseudibericum"
1086,"Primulaceae","CYCLAMEN pseudibericum OS743"
1087,"Primulaceae","CYCLAMEN purpurascens"
1088,"Primulaceae","CYCLAMEN purpurascens 'Lake Bled form'"
1089,"Primulaceae","CYCLAMEN purpurascens 'Xmas tree'"
1090,"Primulaceae","CYCLAMEN repandum"
1091,"Primulaceae","CYCLAMEN rhodium subsp. peloponnesiacum"
1092,"Primulaceae","CYCLAMEN rhodium subsp. peloponnesiacum JJA368.009"
1093,"Primulaceae","CYCLAMEN rhodium subsp. peloponnesiacum f. album"
1094,"Primulaceae","CYCLAMEN rohlfsianum"
1074,"Primulaceae","CYCLAMEN x hildebrandii (afr. x hed. )"
1077,"Primulaceae","CYCLAMEN x meiklei (creticum x repandum)"
1095,"Primulaceae","CYCLAMEN x saundersiae (repandum x balearicum)"
1098,"Boraginaceae","CYNOGLOSSUM dioscoridis"
1099,"Boraginaceae","CYNOGLOSSUM nervosum"
1097,"Boraginaceae","CYNOGLOSSUM sp. pink"
1100,"Boraginaceae","CYNOGLOSSUM zeylanicum"
1101,"Iridaceae","CYPELLA caerulea"
1102,"Iridaceae","CYPELLA coelestis"
1103,"Iridaceae","CYPELLA herbertii"
5123,"Orchidaceae","CYPRIPEDIUM acaule"
1104,"Orchidaceae","CYPRIPEDIUM parviflorum subsp. pubescens"
1105,"Amaryllidaceae","CYRTANTHUS brachyscyphus"
1108,"Orchidaceae","DACTYLORHIZA elata"
1109,"Orchidaceae","DACTYLORHIZA foliosa"
1110,"Orchidaceae","DACTYLORHIZA maculata"
1111,"Orchidaceae","DACTYLORHIZA praetermissa"
1112,"Orchidaceae","DACTYLORHIZA purpurella"
1113,"Asteraceae","DAHLIA coccinea"
1114,"Asteraceae","DAHLIA imperialis"
1115,"Asteraceae","DAHLIA merckii"
1116,"Asteraceae","DAHLIA sorensenii"
1139,"Asphodelaceae","DAUBENYA aurea mixed"
1147,"Ranunculaceae","DELPHINIUM  mixed"
1151,"Ranunculaceae","DELPHINIUM 'Belladona Group'"
1152,"Ranunculaceae","DELPHINIUM brunonianum"
1153,"Ranunculaceae","DELPHINIUM caucasicum"
1154,"Ranunculaceae","DELPHINIUM confusum"
1155,"Ranunculaceae","DELPHINIUM decorum"
1156,"Ranunculaceae","DELPHINIUM dictyocarpum"
1157,"Ranunculaceae","DELPHINIUM elatum mixed blue "
1158,"Ranunculaceae","DELPHINIUM elatum pale blue"
1159,"Ranunculaceae","DELPHINIUM fissum ex Ukraine"
1160,"Ranunculaceae","DELPHINIUM grandiflorum"
1161,"Ranunculaceae","DELPHINIUM grandiflorum pale blue"
1148,"Ranunculaceae","DELPHINIUM hyb. white/black eye"
1162,"Ranunculaceae","DELPHINIUM iliense"
1163,"Ranunculaceae","DELPHINIUM kamaonense"
1164,"Ranunculaceae","DELPHINIUM leucophaeum"
1165,"Ranunculaceae","DELPHINIUM likiangense"
1166,"Ranunculaceae","DELPHINIUM luteum"
1167,"Ranunculaceae","DELPHINIUM maackianum"
1168,"Ranunculaceae","DELPHINIUM orfordii"
1169,"Ranunculaceae","DELPHINIUM pylzowii"
1170,"Ranunculaceae","DELPHINIUM requienii"
1171,"Ranunculaceae","DELPHINIUM semibarbatum"
1149,"Ranunculaceae","DELPHINIUM sp. blue"
1150,"Ranunculaceae","DELPHINIUM sp. blue 15cm"
1172,"Ranunculaceae","DELPHINIUM staphisagria"
1173,"Ranunculaceae","DELPHINIUM sutchuenense"
1174,"Ranunculaceae","DELPHINIUM taliense f. hirsutum"
1175,"Ranunculaceae","DELPHINIUM tatsienense"
1227,"Papaveraceae","DICENTRA cucullaria"
5127,"Asphodelaceae","DICHELOSTEMMA capitatum subsp. capitatum 488m"
5128,"Asphodelaceae","DICHELOSTEMMA capitatum subsp. capitatum 614m"
5129,"Asphodelaceae","DICHELOSTEMMA capitatum subsp. capitatum 679m"
1228,"Asphodelaceae","DICHELOSTEMMA congestum"
1229,"Asphodelaceae","DICHELOSTEMMA ida-maia"
5130,"Asphodelaceae","DICHELOSTEMMA multiflorum"
5131,"Asphodelaceae","DICHELOSTEMMA volubile"
1238,"Iridaceae","DIERAMA 'Barr's Hybrid'"
1239,"Iridaceae","DIERAMA 'Blackberry Bells'"
1240,"Iridaceae","DIERAMA 'Spring Dancer'"
1241,"Iridaceae","DIERAMA Wildside hybrids"
1242,"Iridaceae","DIERAMA dracomontanum"
1243,"Iridaceae","DIERAMA erectum 'Autumn Sparkler'"
1236,"Iridaceae","DIERAMA hybs. mixed"
1244,"Iridaceae","DIERAMA igneum"
1245,"Iridaceae","DIERAMA igneum apricot"
1246,"Iridaceae","DIERAMA pauciflorum"
1247,"Iridaceae","DIERAMA pendulum"
1248,"Iridaceae","DIERAMA pulcherrimum"
1253,"Iridaceae","DIERAMA pulcherrimum 'Blackbird'"
1254,"Iridaceae","DIERAMA pulcherrimum 'Mull of Galloway'"
1255,"Iridaceae","DIERAMA pulcherrimum 'Slieve Donard hybrids'"
1256,"Iridaceae","DIERAMA pulcherrimum 'Snowbells'"
1249,"Iridaceae","DIERAMA pulcherrimum aff."
1250,"Iridaceae","DIERAMA pulcherrimum dark form"
1251,"Iridaceae","DIERAMA pulcherrimum dwarf form 60cm"
1252,"Iridaceae","DIERAMA pulcherrimum mauve"
1257,"Iridaceae","DIERAMA reynoldsii"
1258,"Iridaceae","DIERAMA robustum"
1237,"Iridaceae","DIERAMA spp. mixed"
1259,"Iridaceae","DIERAMA trichorhizum"
1281,"Asphodelaceae","DIPCADI serotinum"
1283,"Iridaceae","DIPLARRENA latifolia"
1284,"Iridaceae","DIPLARRENA moraea"
1289,"Primulaceae","DODECATHEON 'Stellar Pink'"
1290,"Primulaceae","DODECATHEON alpinum"
1291,"Primulaceae","DODECATHEON amethystinum"
1292,"Primulaceae","DODECATHEON dentatum"
1293,"Primulaceae","DODECATHEON hendersonii"
1294,"Primulaceae","DODECATHEON jeffreyi"
5133,"Primulaceae","DODECATHEON jeffreyi"
1295,"Primulaceae","DODECATHEON meadia"
1296,"Primulaceae","DODECATHEON meadia 'Aphrodite'"
1297,"Primulaceae","DODECATHEON pulchellum"
1298,"Primulaceae","DODECATHEON pulchellum 'Red Wings'"
1299,"Primulaceae","DODECATHEON pulchellum 'Sooke Variety'"
1340,"Araceae","DRACUNCULUS vulgaris"
1342,"Asphodelaceae","DRIMIA uniflora"
1343,"Droseraceae","DROSERA binata subsp. binata"
5139,"Crassulaceae","DUDLEYA abramsii subsp. affinis"
1388,"Orchidaceae","EPIPACTIS gigantea"
1389,"Orchidaceae","EPIPACTIS palustris"
1390,"Ranunculaceae","ERANTHIS cilicica"
1391,"Ranunculaceae","ERANTHIS hyemalis"
1393,"Ranunculaceae","ERANTHIS hyemalis 'Birte'"
1394,"Ranunculaceae","ERANTHIS hyemalis 'Hessellund Green'"
1395,"Ranunculaceae","ERANTHIS hyemalis 'Schwefelglanz'"
1392,"Ranunculaceae","ERANTHIS hyemalis orange"
1396,"Ranunculaceae","ERANTHIS hyemalis x cilicica"
1398,"Asphodelaceae","EREMURUS cristatus"
1399,"Asphodelaceae","EREMURUS himalaicus"
1400,"Asphodelaceae","EREMURUS olgae"
1401,"Asphodelaceae","EREMURUS robustus"
1402,"Asphodelaceae","EREMURUS stenophyllus 'Bungei'"
1403,"Asphodelaceae","EREMURUS tianschanicus"
1474,"Liliaceae","ERYTHRONIUM 'Craigton Cover Girl'"
1475,"Liliaceae","ERYTHRONIUM 'Harvington Snow Goose'"
1476,"Liliaceae","ERYTHRONIUM 'Harvington Wild Salmon'"
1477,"Liliaceae","ERYTHRONIUM 'Joanna'"
1478,"Liliaceae","ERYTHRONIUM 'Kinfauns Pink'"
1479,"Liliaceae","ERYTHRONIUM 'Kinfauns Sunset'"
1480,"Liliaceae","ERYTHRONIUM californicum"
1481,"Liliaceae","ERYTHRONIUM californicum 'White Beauty'"
1482,"Liliaceae","ERYTHRONIUM californicum x multiscapoideum"
5154,"Liliaceae","ERYTHRONIUM citrinum subsp. citrinum"
1483,"Liliaceae","ERYTHRONIUM dens-canis"
5155,"Liliaceae","ERYTHRONIUM dens-canis"
1484,"Liliaceae","ERYTHRONIUM dens-canis f. alba"
1485,"Liliaceae","ERYTHRONIUM elegans"
1486,"Liliaceae","ERYTHRONIUM grandiflorum"
5156,"Liliaceae","ERYTHRONIUM grandiflorum"
1487,"Liliaceae","ERYTHRONIUM grandiflorum mixed anther colours"
5157,"Liliaceae","ERYTHRONIUM grandiflorum subsp. grandiflorum"
1488,"Liliaceae","ERYTHRONIUM helenae"
1489,"Liliaceae","ERYTHRONIUM hendersonii"
5158,"Liliaceae","ERYTHRONIUM multiscapoideum"
1490,"Liliaceae","ERYTHRONIUM oregonum"
5159,"Liliaceae","ERYTHRONIUM oregonum f. leucandrum"
1491,"Liliaceae","ERYTHRONIUM oregonum f. sulphureum"
5160,"Liliaceae","ERYTHRONIUM purpurascens"
1492,"Liliaceae","ERYTHRONIUM revolutum"
1495,"Liliaceae","ERYTHRONIUM revolutum 'Cowichan'"
1496,"Liliaceae","ERYTHRONIUM revolutum 'Elizabeth'"
1499,"Liliaceae","ERYTHRONIUM revolutum 'Knightshayes Pink'"
1498,"Liliaceae","ERYTHRONIUM revolutum 'Knightshayes'"
1500,"Liliaceae","ERYTHRONIUM revolutum 'Wild Salmon'"
1497,"Liliaceae","ERYTHRONIUM revolutum Johnsonii Group"
1493,"Liliaceae","ERYTHRONIUM revolutum hybrids"
1494,"Liliaceae","ERYTHRONIUM revolutum pale pink"
1501,"Liliaceae","ERYTHRONIUM sibiricum"
1502,"Liliaceae","ERYTHRONIUM sibiricum subsp. altaicum"
1473,"Liliaceae","ERYTHRONIUM spp. mixed"
1506,"Asphodelaceae","EUCOMIS bicolor"
1507,"Asphodelaceae","EUCOMIS bicolor f. alba"
1508,"Asphodelaceae","EUCOMIS comosa"
1509,"Asphodelaceae","EUCOMIS pole-evansii"
1510,"Asphodelaceae","EUCOMIS schijffii"
1511,"Asphodelaceae","EUCOMIS zambesiaca"
1530,"Iridaceae","FERRARIA crispa dark"
1532,"Iridaceae","FERRARIA crispa subsp. nortieri"
1531,"Iridaceae","FERRARIA crispa yellow"
1542,"Iridaceae","FREESIA alba"
1543,"Iridaceae","FREESIA alba"
1544,"Iridaceae","FREESIA laxa"
1548,"Iridaceae","FREESIA laxa 'Joan Evans'"
1545,"Iridaceae","FREESIA laxa blue"
1549,"Iridaceae","FREESIA laxa f. alba"
1546,"Iridaceae","FREESIA laxa red"
1547,"Iridaceae","FREESIA laxa white/red spotted"
1551,"Liliaceae","FRITILLARIA acmopetala"
1552,"Liliaceae","FRITILLARIA acmopetala 'Paul Furse'"
1553,"Liliaceae","FRITILLARIA affinis"
1554,"Liliaceae","FRITILLARIA affinis"
5167,"Liliaceae","FRITILLARIA affinis"
1556,"Liliaceae","FRITILLARIA amana"
1555,"Liliaceae","FRITILLARIA amana"
1557,"Liliaceae","FRITILLARIA amana EKB1035"
1558,"Liliaceae","FRITILLARIA ariana"
1559,"Liliaceae","FRITILLARIA armena aff."
1560,"Liliaceae","FRITILLARIA aurea"
1561,"Liliaceae","FRITILLARIA biflora 'roderickii' type"
1562,"Liliaceae","FRITILLARIA biflora subsp. ineziana"
