Number	Family Name	Name	Garden/Wild	Live material
1	Malvaceae	ABELMOSCHUS manihot	Garden	
2	Pinaceae	ABIES koreana	Garden	
3	Malvaceae	ABUTILON sonneratianum	Garden	
4	Malvaceae	ABUTILON x suntense	Garden	
5	Malvaceae	ABUTILON vitifolium	Garden	
6	Malvaceae	ABUTILON vitifolium 'Tennant's White'	Garden	
7	Rosaceae	ACAENA inermis	Garden	
8	Rosaceae	ACAENA myriophylla	Garden	
9	Rosaceae	ACAENA saccaticupula	Garden	
10	Plumbaginaceae	ACANTHOLIMON armenum	Garden	
11	Plumbaginaceae	ACANTHOLIMON caryophyllaceum	Garden	
12	Plumbaginaceae	ACANTHOLIMON glumaceum	Garden	
13	Plumbaginaceae	ACANTHOLIMON litvinovii	Garden	
14	Plumbaginaceae	ACANTHOLIMON saxifragiforme	Garden	
15	Plumbaginaceae	ACANTHOLIMON trojanum	Garden	
16	Plumbaginaceae	ACANTHOLIMON ulicinum	Garden	
17	Acanthaceae	ACANTHUS mollis	Garden	
18	Sapindaceae	ACER campestre	Garden	
19	Sapindaceae	ACER x conspicuum 'Red Flamingo'	Garden	
20	Sapindaceae	ACER japonicum 'O-isami'	Garden	
21	Sapindaceae	ACER japonicum 'Vitifolium'	Garden	
22	Sapindaceae	ACER monspessulanum	Garden	
23	Sapindaceae	ACER palmatum	Garden	
24	Sapindaceae	ACER palmatum 'Arakawa'	Garden	
25	Sapindaceae	ACER palmatum 'Atropurpureum'	Garden	
26	Sapindaceae	ACER palmatum 'Bloodgood'	Garden	
27	Sapindaceae	ACER palmatum 'Ki-hachijo'	Garden	
28	Sapindaceae	ACER palmatum subsp. dissectum	Garden	
29	Sapindaceae	ACER rufinerve	Garden	
30	Sapindaceae	ACER shirasawanum	Garden	
31	Sapindaceae	ACER sieboldianum	Garden	
32	Asteraceae	ACHILLEA coarctata	Garden	
33	Asteraceae	ACHILLEA filipendulina 'Cloth of Gold'	Garden	
34	Asteraceae	ACHILLEA millefolium 'Cerise Queen'	Garden	
35	Asteraceae	ACHILLEA nobilis subsp. neilreichii	Garden	
36	Gesneriaceae	ACHIMENES 'Harry Williams'	Garden	
37	Amaryllidaceae	ACIS autumnalis	Garden	
38	Amaryllidaceae	ACIS autumnalis subsp. aportense	Garden	
39	Amaryllidaceae	ACIS autumnalis subsp. oporantha	Garden	
40	Amaryllidaceae	ACIS autumnalis subsp. oporantha f. dispathum	Garden	
41	Amaryllidaceae	ACIS nicaeensis	Garden	
42	Amaryllidaceae	ACIS rosea	Garden	
43	Amaryllidaceae	ACIS tingitana	Garden	
44	Amaryllidaceae	ACIS valentina	Garden	
45	Ranunculaceae	ACONITUM sp. dwarf yellow 40cm	Garden	
46	Ranunculaceae	ACONITUM 'Purple Sparrow'	Garden	
47	Ranunculaceae	ACONITUM alboviolaceum	Garden	
48	Ranunculaceae	ACONITUM anthora	Garden	
49	Ranunculaceae	ACONITUM hemsleyanum	Garden	
50	Ranunculaceae	ACONITUM japonicum	Garden	
51	Ranunculaceae	ACONITUM japonicum subsp. subcuneatum	Garden	
52	Ranunculaceae	ACONITUM krylovii	Garden	
53	Ranunculaceae	ACONITUM lamarckii	Garden	
54	Ranunculaceae	ACONITUM leucostomum hyb Cally Garden	Garden	
55	Ranunculaceae	ACONITUM lycoctonum	Garden	
56	Ranunculaceae	ACONITUM lycoctonum 'Russian Yellow'	Garden	
57	Ranunculaceae	ACONITUM napellus	Garden	
58	Ranunculaceae	ACONITUM napellus 'Carneum'	Garden	
59	Ranunculaceae	ACONITUM napellus 'Rubellum'	Garden	
60	Ranunculaceae	ACONITUM orientale	Garden	
61	Ranunculaceae	ACONITUM sachalinense	Garden	
62	Ranunculaceae	ACONITUM septentrionale	Garden	
63	Ranunculaceae	ACONITUM uncinatum	Garden	
64	Ranunculaceae	ACONITUM vulparia	Garden	
65	Ranunculaceae	ACTAEA elata	Garden	
66	Ranunculaceae	ACTAEA pachypoda	Garden	
67	Ranunculaceae	ACTAEA pachypoda 'Misty Blue'	Garden	
68	Ranunculaceae	ACTAEA pachypoda f. alba	Garden	
69	Ranunculaceae	ACTAEA pachypoda f. rubrocarpa	Garden	
70	Ranunculaceae	ACTAEA racemosa	Garden	
71	Ranunculaceae	ACTAEA racemosa f. variegata	Garden	
72	Ranunculaceae	ACTAEA rubra	Garden	
73	Ranunculaceae	ACTAEA spicata	Garden	
74	Boraginaceae	ADELOCARYUM coelestinum	Garden	
75	Campanulaceae	ADENOPHORA khasiana	Garden	
76	Campanulaceae	ADENOPHORA uehatae	Garden	
77	Campanulaceae	ADENOPHORA verticillata	Garden	
78	Asteraceae	ADENOSTYLES alpina	Garden	
79	Pteridaceae	ADIANTUM caudatum	Garden	
80	Papaveraceae	ADLUMIA asiatica	Garden	
81	Ranunculaceae	ADONIS cyllenea	Garden	
82	Ranunculaceae	ADONIS davidii	Garden	
83	Ranunculaceae	ADONIS vernalis	Garden	
84	Brassicaceae	AETHIONEMA sp.	Garden	
85	Brassicaceae	AETHIONEMA 'Warley Rose'	Garden	
86	Brassicaceae	AETHIONEMA armenum	Garden	
87	Brassicaceae	AETHIONEMA capitatum	Garden	
88	Brassicaceae	AETHIONEMA grandiflorum	Garden	
89	Brassicaceae	AETHIONEMA saxatile	Garden	
90	Brassicaceae	AETHIONEMA schistosum	Garden	
91	Brassicaceae	AETHIONEMA subulatum	Garden	
92	Amaryllidaceae	AGAPANTHUS hyb. blue 45cm	Garden	
93	Amaryllidaceae	AGAPANTHUS hyb. dark blue	Garden	
94	Amaryllidaceae	AGAPANTHUS sp. blue	Garden	
95	Amaryllidaceae	AGAPANTHUS 'Cally Blue'	Garden	
96	Amaryllidaceae	AGAPANTHUS 'Castle of Mey'	Garden	
97	Amaryllidaceae	AGAPANTHUS 'Headbourne hybrids'	Garden	
98	Amaryllidaceae	AGAPANTHUS campanulatus	Garden	
99	Lamiaceae	AGASTACHE 'Blue Fortune'	Garden	
100	Lamiaceae	AGASTACHE foeniculum	Garden	
101	Lamiaceae	AGASTACHE mexicana	Garden	
102	Lamiaceae	AGASTACHE rugosa	Garden	
103	Lamiaceae	AGASTACHE rugosa 'Golden Jubilee'	Garden	
104	Lamiaceae	AGASTACHE rugosa 'Honey Bee Blue'	Garden	
105	Lamiaceae	AGASTACHE rugosa 'Liquorice Blue'	Garden	
106	Lamiaceae	AGASTACHE rugosa f. albiflora	Garden	
107	Lamiaceae	AGASTACHE rupestris	Garden	
108	Caryophyllaceae	AGROSTEMMA githago	Garden	
109	Poaceae	AGROSTIS perennans	Garden	
110	Lamiaceae	AJUGA lupulina	Garden	
111	Lardizabalaceae	AKEBIA quinata	Garden	
112	Fabaceae	ALBIZIA julibrissin 'Summer Chocolate'	Garden	
113	Fabaceae	ALBIZIA julibrissin f. rosea	Garden	
114	Asphodelaceae	ALBUCA canadensis	Garden	
115	Asphodelaceae	ALBUCA humilis	Garden	
116	Asphodelaceae	ALBUCA rupestris	Garden	
117	Asphodelaceae	ALBUCA rupestris aff.  	Garden	
118	Asphodelaceae	ALBUCA rupestris aff. JCA15856 white 15cm	Garden	
119	Asphodelaceae	ALBUCA tenuifolia	Garden	
120	Asphodelaceae	ALBUCA trichophylla	Garden	
121	Malvaceae	ALCEA sp. purple/black	Garden	
122	Malvaceae	ALCEA nudiflora	Garden	
123	Malvaceae	ALCEA pallida red	Garden	
124	Malvaceae	ALCEA rosea red	Garden	
125	Malvaceae	ALCEA rosea 'Caplez' light pink	Garden	
126	Malvaceae	ALCEA rosea 'Caplez' red cherry	Garden	
127	Malvaceae	ALCEA rosea 'Mars Magic'	Garden	
128	Malvaceae	ALCEA rugosa	Garden	
129	Amaryllidaceae	ALLIUM sp. August fl	Garden	
130	Amaryllidaceae	ALLIUM 'In Orbit'	Garden	
131	Amaryllidaceae	ALLIUM 'Mount Everest'	Garden	
132	Amaryllidaceae	ALLIUM acuminatum	Garden	
133	Amaryllidaceae	ALLIUM acutiflorum	Garden	
134	Amaryllidaceae	ALLIUM aflatunense	Garden	
135	Amaryllidaceae	ALLIUM altissimum 'Goliath'	Garden	
136	Amaryllidaceae	ALLIUM altyncolicum	Garden	
137	Amaryllidaceae	ALLIUM amphibolum	Garden	
138	Amaryllidaceae	ALLIUM atrosanguineum	Garden	
139	Amaryllidaceae	ALLIUM barsczewskii JCA17511	Garden	
140	Amaryllidaceae	ALLIUM beesianum	Garden	
141	Amaryllidaceae	ALLIUM bolanderi	Garden	
142	Amaryllidaceae	ALLIUM brevicaule	Garden	
143	Amaryllidaceae	ALLIUM caesium	Garden	
144	Amaryllidaceae	ALLIUM carinatum	Garden	
145	Amaryllidaceae	ALLIUM carinatum	Garden	Yes
146	Amaryllidaceae	ALLIUM carinatum white	Garden	
147	Amaryllidaceae	ALLIUM carinatum subsp. pulchellum	Garden	
148	Amaryllidaceae	ALLIUM carinatum subsp. pulchellum f. album	Garden	
149	Amaryllidaceae	ALLIUM carolinianum	Garden	
150	Amaryllidaceae	ALLIUM cernuum	Garden	
151	Amaryllidaceae	ALLIUM cernuum dark	Garden	
152	Amaryllidaceae	ALLIUM cernuum dark pink	Garden	
153	Amaryllidaceae	ALLIUM cernuum 'Pink Giant'	Garden	
154	Amaryllidaceae	ALLIUM cernuum f. album	Garden	
155	Amaryllidaceae	ALLIUM circinatum	Garden	
156	Amaryllidaceae	ALLIUM cowanii	Garden	
157	Amaryllidaceae	ALLIUM cretaceum	Garden	
158	Amaryllidaceae	ALLIUM crispum	Garden	
159	Amaryllidaceae	ALLIUM cristophii	Garden	
160	Amaryllidaceae	ALLIUM cyaneum	Garden	
161	Amaryllidaceae	ALLIUM cyathophorum subsp. farreri	Garden	
162	Amaryllidaceae	ALLIUM decipiens	Garden	
163	Amaryllidaceae	ALLIUM dodecadondum	Garden	
164	Amaryllidaceae	ALLIUM drummondii	Garden	
165	Amaryllidaceae	ALLIUM erythraeum	Garden	
166	Amaryllidaceae	ALLIUM falcifolium	Garden	
167	Amaryllidaceae	ALLIUM farreri	Garden	
168	Amaryllidaceae	ALLIUM farreri cf.	Garden	
169	Amaryllidaceae	ALLIUM fistulosum	Garden	
170	Amaryllidaceae	ALLIUM flavum	Garden	
171	Amaryllidaceae	ALLIUM flavum subsp. flavum var. minus	Garden	
172	Amaryllidaceae	ALLIUM galanthum	Garden	
173	Amaryllidaceae	ALLIUM geyeri	Garden	
174	Amaryllidaceae	ALLIUM giganteum	Garden	
175	Amaryllidaceae	ALLIUM gomphrenoides	Garden	
176	Amaryllidaceae	ALLIUM guttatum	Garden	
177	Amaryllidaceae	ALLIUM heldreichii	Garden	
178	Amaryllidaceae	ALLIUM hollandicum 'Purple Sensation'	Garden	
179	Amaryllidaceae	ALLIUM huber-morathii	Garden	
180	Amaryllidaceae	ALLIUM hymenorhizum	Garden	
181	Amaryllidaceae	ALLIUM insubricum	Garden	
182	Amaryllidaceae	ALLIUM karataviense	Garden	
183	Amaryllidaceae	ALLIUM korolkowi	Garden	
184	Amaryllidaceae	ALLIUM kurtzianum	Garden	
185	Amaryllidaceae	ALLIUM lineare	Garden	
186	Amaryllidaceae	ALLIUM lusitanicum	Garden	
187	Amaryllidaceae	ALLIUM macranthum	Garden	
188	Amaryllidaceae	ALLIUM mairei	Garden	
189	Amaryllidaceae	ALLIUM moly	Garden	
190	Amaryllidaceae	ALLIUM narcissiflorum	Garden	
191	Amaryllidaceae	ALLIUM neriniflorum	Garden	
192	Amaryllidaceae	ALLIUM nevskianum	Garden	
193	Amaryllidaceae	ALLIUM nigrum aff.	Garden	
194	Amaryllidaceae	ALLIUM nutans	Garden	
195	Amaryllidaceae	ALLIUM nutans ex Russia	Garden	
196	Amaryllidaceae	ALLIUM obliquum	Garden	
197	Amaryllidaceae	ALLIUM ochotense	Garden	
198	Amaryllidaceae	ALLIUM oleraceum	Garden	
199	Amaryllidaceae	ALLIUM oleraceum	Garden	Yes
200	Amaryllidaceae	ALLIUM oreophilum ex Kurdistan	Garden	
201	Amaryllidaceae	ALLIUM ovalifolium	Garden	
202	Amaryllidaceae	ALLIUM paradoxum	Garden	
203	Amaryllidaceae	ALLIUM paradoxum subsp. normale	Garden	
204	Amaryllidaceae	ALLIUM plummerae	Garden	
205	Amaryllidaceae	ALLIUM prattii	Garden	
206	Amaryllidaceae	ALLIUM przewalskianum	Garden	
207	Amaryllidaceae	ALLIUM pseudojaponicum	Garden	
208	Amaryllidaceae	ALLIUM pskemense	Garden	
209	Amaryllidaceae	ALLIUM regelii	Garden	
210	Amaryllidaceae	ALLIUM rosenbachianum	Garden	
211	Amaryllidaceae	ALLIUM roseum	Garden	
212	Amaryllidaceae	ALLIUM roseum	Garden	Yes
213	Amaryllidaceae	ALLIUM rotundum	Garden	
214	Amaryllidaceae	ALLIUM sativum	Garden	
215	Amaryllidaceae	ALLIUM saxatile	Garden	
216	Amaryllidaceae	ALLIUM scabriflorum	Garden	
217	Amaryllidaceae	ALLIUM schoenoprasum	Garden	
218	Amaryllidaceae	ALLIUM schoenoprasum 'Forescate'	Garden	
219	Amaryllidaceae	ALLIUM schoenoprasum 'Wallington White'	Garden	
220	Amaryllidaceae	ALLIUM schoenoprasum subsp. sibiricum	Garden	
221	Amaryllidaceae	ALLIUM schubertii	Garden	
222	Amaryllidaceae	ALLIUM senescens	Garden	
223	Amaryllidaceae	ALLIUM sewerzowi	Garden	
224	Amaryllidaceae	ALLIUM shelkovnikovi	Garden	
225	Amaryllidaceae	ALLIUM siculum	Garden	
226	Amaryllidaceae	ALLIUM sikkimense	Garden	
227	Amaryllidaceae	ALLIUM sphaerocephalon ex Gran Sasso	Garden	
228	Amaryllidaceae	ALLIUM splendens	Garden	
229	Amaryllidaceae	ALLIUM stellatum	Garden	
230	Amaryllidaceae	ALLIUM stipitatum	Garden	
231	Amaryllidaceae	ALLIUM strictum	Garden	
232	Amaryllidaceae	ALLIUM subhirsutum	Garden	
233	Amaryllidaceae	ALLIUM subvillosum	Garden	
234	Amaryllidaceae	ALLIUM suworowi	Garden	
235	Amaryllidaceae	ALLIUM szovitsii	Garden	
236	Amaryllidaceae	ALLIUM tanguticum	Garden	
237	Amaryllidaceae	ALLIUM togashii	Garden	
238	Amaryllidaceae	ALLIUM tricoccum	Garden	
239	Amaryllidaceae	ALLIUM tschimganicum	Garden	
240	Amaryllidaceae	ALLIUM tuberosum	Garden	
241	Amaryllidaceae	ALLIUM unifolium	Garden	
242	Amaryllidaceae	ALLIUM validum	Garden	
243	Amaryllidaceae	ALLIUM victorialis	Garden	
244	Amaryllidaceae	ALLIUM victorialis subsp. platyphyllum	Garden	
245	Amaryllidaceae	ALLIUM victorialis subsp. platyphyllum ex Japan	Garden	
246	Amaryllidaceae	ALLIUM wallichii	Garden	
247	Amaryllidaceae	ALLIUM zebdanense	Garden	
248	Asphodelaceae	ALOE aristata	Garden	
249	Verbenaceae	ALOYSIA citriodora	Garden	
250	Alstroemeriaceae	ALSTROEMERIA hybs. orange	Garden	
251	Alstroemeriaceae	ALSTROEMERIA sp. yellow 30cm	Garden	
252	Alstroemeriaceae	ALSTROEMERIA angustifolia	Garden	
253	Alstroemeriaceae	ALSTROEMERIA aurea	Garden	
254	Alstroemeriaceae	ALSTROEMERIA ligtu hybrids	Garden	
255	Alstroemeriaceae	ALSTROEMERIA patagonica	Garden	
256	Malvaceae	ALTHAEA armeniaca	Garden	
257	Malvaceae	ALTHAEA cannabina	Garden	
258	Malvaceae	ALTHAEA officinalis	Garden	
259	Brassicaceae	ALYSSOIDES utriculata	Garden	
260	Brassicaceae	ALYSSUM saxatile	Garden	
261	Brassicaceae	ALYSSUM tortuosum	Garden	
262	Rosaceae	AMELANCHIER canadensis	Garden	
263	Rosaceae	AMELANCHIER lamarckii	Garden	
264	Rosaceae	AMELANCHIER pumila	Garden	
265	Apiaceae	AMMI majus	Garden	
266	Apiaceae	AMMI visnaga	Garden	
267	Asteraceae	AMMOBIUM alatum	Garden	
268	Fabaceae	AMORPHA canescens	Garden	
269	Poaceae	AMPELODESMOS mauritanicus	Garden	
270	Apocynaceae	AMSONIA tabernaemontana	Garden	
271	Asteraceae	ANACYCLUS depressus	Garden	
272	Primulaceae	ANAGALLIS monelli	Garden	
273	Colchicaceae	ANDROCYMBIUM striatum	Garden	
274	Primulaceae	ANDROSACE sp. white	Garden	
275	Primulaceae	ANDROSACE albana	Garden	
276	Primulaceae	ANDROSACE amurensis	Garden	
277	Primulaceae	ANDROSACE barbulata	Garden	
278	Primulaceae	ANDROSACE barbulata subsp. glabrescens	Garden	
279	Primulaceae	ANDROSACE carnea subsp. brigantiaca	Garden	
280	Primulaceae	ANDROSACE carnea subsp. carnea	Garden	
281	Primulaceae	ANDROSACE ciliata	Garden	
282	Primulaceae	ANDROSACE cylindrica	Garden	
283	Primulaceae	ANDROSACE cylindrica Soasso Gorge	Garden	
284	Primulaceae	ANDROSACE cylindrica subsp. willkommii	Garden	
285	Primulaceae	ANDROSACE cylindrica x hirtella	Garden	
286	Primulaceae	ANDROSACE halleri	Garden	
287	Primulaceae	ANDROSACE hausmannii	Garden	
288	Primulaceae	ANDROSACE hedraeantha	Garden	
289	Primulaceae	ANDROSACE laevigata	Garden	
290	Primulaceae	ANDROSACE lanuginosa subsp. leichtlinii	Garden	
291	Primulaceae	ANDROSACE mairei	Garden	
292	Primulaceae	ANDROSACE obtusifolia subsp. aretioides	Garden	
293	Primulaceae	ANDROSACE pubescens	Garden	
294	Primulaceae	ANDROSACE pyrenaica	Garden	
295	Primulaceae	ANDROSACE rioxana	Garden	
296	Primulaceae	ANDROSACE septentrionalis	Garden	
297	Primulaceae	ANDROSACE septentrionalis 'Stardust'	Garden	
298	Primulaceae	ANDROSACE strigillosa	Garden	
299	Primulaceae	ANDROSACE studiosorum 'Conwy Jewel'	Garden	
300	Primulaceae	ANDROSACE vandellii	Garden	
301	Primulaceae	ANDROSACE villosa	Garden	
302	Asteraceae	ANDRYALA agardhii	Garden	
303	Ranunculaceae	ANEMONE sp. cream 60cm	Garden	
304	Ranunculaceae	ANEMONE 'Wild Swan'	Garden	
305	Ranunculaceae	ANEMONE altaica	Garden	
306	Ranunculaceae	ANEMONE barbulata	Garden	
307	Ranunculaceae	ANEMONE canadensis	Garden	
308	Ranunculaceae	ANEMONE coronaria	Garden	
309	Ranunculaceae	ANEMONE coronaria red	Garden	
310	Ranunculaceae	ANEMONE crinita	Garden	
311	Ranunculaceae	ANEMONE cylindrica	Garden	
312	Ranunculaceae	ANEMONE drummondii	Garden	
313	Ranunculaceae	ANEMONE fasciculata	Garden	
314	Ranunculaceae	ANEMONE filisecta	Garden	
315	Ranunculaceae	ANEMONE hortensis	Garden	
316	Ranunculaceae	ANEMONE x lesseri	Garden	
317	Ranunculaceae	ANEMONE leveillei	Garden	
318	Ranunculaceae	ANEMONE lithophila	Garden	
319	Ranunculaceae	ANEMONE multifida	Garden	
320	Ranunculaceae	ANEMONE multifida 'Major'	Garden	
321	Ranunculaceae	ANEMONE multifida f. rubra	Garden	
322	Ranunculaceae	ANEMONE narcissiflora	Garden	
323	Ranunculaceae	ANEMONE narcissiflora subsp. biarmiensis	Garden	
324	Ranunculaceae	ANEMONE obtusiloba	Garden	
325	Ranunculaceae	ANEMONE obtusiloba 'Kari'	Garden	
326	Ranunculaceae	ANEMONE palmata	Garden	
327	Ranunculaceae	ANEMONE parviflora	Garden	
328	Ranunculaceae	ANEMONE pavonina	Garden	
329	Ranunculaceae	ANEMONE pavonina hardy	Garden	
330	Ranunculaceae	ANEMONE polyanthes	Garden	
331	Ranunculaceae	ANEMONE rivularis	Garden	
332	Ranunculaceae	ANEMONE rivularis aff.	Garden	
333	Ranunculaceae	ANEMONE sherriffii	Garden	
334	Ranunculaceae	ANEMONE sylvestris	Garden	
335	Ranunculaceae	ANEMONE tetonensis	Garden	
336	Ranunculaceae	ANEMONE trullifolia	Garden	
337	Ranunculaceae	ANEMONE trullifolia subsp. linearis	Garden	
338	Ranunculaceae	ANEMONE vitifolia	Garden	
339	Ranunculaceae	ANEMONELLA thalictroides	Garden	
340	Ranunculaceae	ANEMONOPSIS macrophylla	Garden	
341	Ranunculaceae	ANEMONOPSIS macrophylla 'White Swan'	Garden	
342	Apiaceae	ANGELICA sp. ex Crug red stem	Garden	
343	Apiaceae	ANGELICA gigas	Garden	
344	Apiaceae	ANGELICA sachalinensis	Garden	
345	Apiaceae	ANGELICA sylvestris 'Ebony'	Garden	
346	Apiaceae	ANGELICA sylvestris 'Vicars Mead'	Garden	
347	Asteraceae	ANTENNARIA dioica	Garden	
348	Asteraceae	ANTHEMIS cretica subsp. columnae	Garden	
349	Asteraceae	ANTHEMIS marschalliana subsp. sosnovskyana	Garden	
350	Asteraceae	ANTHEMIS tinctoria 'E.C.Buxton'	Garden	
351	Asteraceae	ANTHEMIS tinctoria 'Lemon Ice'	Garden	
352	Asphodelaceae	ANTHERICUM baeticum	Garden	
353	Asphodelaceae	ANTHERICUM liliago	Garden	
354	Asphodelaceae	ANTHERICUM liliago f. major	Garden	
355	Asphodelaceae	ANTHERICUM ramosum	Garden	
356	Apiaceae	ANTHRISCUS sylvestris 'Ravenswing'	Garden	
357	Fabaceae	ANTHYLLIS montana	Garden	
358	Fabaceae	ANTHYLLIS vulneraria subsp. atlantis	Garden	
359	Fabaceae	ANTHYLLIS vulneraria subsp. coccinea	Garden	
360	Plantaginaceae	ANTIRRHINUM braun-blanquetii	Garden	
361	Plantaginaceae	ANTIRRHINUM majus	Garden	
362	Plantaginaceae	ANTIRRHINUM molle	Garden	
363	Plantaginaceae	ANTIRRHINUM sempervirens	Garden	
364	Ranunculaceae	AQUILEGIA 'McKana Yellow'	Garden	
365	Ranunculaceae	AQUILEGIA alpina	Garden	
366	Ranunculaceae	AQUILEGIA bertolonii	Garden	
367	Ranunculaceae	AQUILEGIA buergeriana	Garden	
368	Ranunculaceae	AQUILEGIA buergeriana 'Calimero'	Garden	
369	Ranunculaceae	AQUILEGIA caerulea	Garden	
370	Ranunculaceae	AQUILEGIA canadensis	Garden	
371	Ranunculaceae	AQUILEGIA canadensis 'Little Lanterns'	Garden	
372	Ranunculaceae	AQUILEGIA chrysantha	Garden	
373	Ranunculaceae	AQUILEGIA chrysantha subsp. chaplinei	Garden	
374	Ranunculaceae	AQUILEGIA einseleana	Garden	
375	Ranunculaceae	AQUILEGIA elegantula	Garden	
376	Ranunculaceae	AQUILEGIA flabellata	Garden	
377	Ranunculaceae	AQUILEGIA flabellata 'Cameo series'	Garden	
378	Ranunculaceae	AQUILEGIA flabellata 'Ministar'	Garden	
379	Ranunculaceae	AQUILEGIA flabellata f. alba	Garden	
380	Ranunculaceae	AQUILEGIA flabellata f. rosea	Garden	
381	Ranunculaceae	AQUILEGIA flabellata subsp. nana	Garden	
382	Ranunculaceae	AQUILEGIA flabellata subsp. pumila	Garden	
383	Ranunculaceae	AQUILEGIA flabellata subsp. pumila rosea	Garden	
384	Ranunculaceae	AQUILEGIA flabellata subsp. pumila 'Atlantis'	Garden	
385	Ranunculaceae	AQUILEGIA flavescens	Garden	
386	Ranunculaceae	AQUILEGIA formosa	Garden	
387	Ranunculaceae	AQUILEGIA fragrans	Garden	
388	Ranunculaceae	AQUILEGIA glandulosa	Garden	
389	Ranunculaceae	AQUILEGIA grata	Garden	
390	Ranunculaceae	AQUILEGIA jonesii	Garden	
391	Ranunculaceae	AQUILEGIA jonesii hybrid	Garden	
392	Ranunculaceae	AQUILEGIA jonesii x saximontana	Garden	
393	Ranunculaceae	AQUILEGIA kurdistanica	Garden	
394	Ranunculaceae	AQUILEGIA laramiensis	Garden	
395	Ranunculaceae	AQUILEGIA olympica	Garden	
396	Ranunculaceae	AQUILEGIA ottonis subsp. amaliae	Garden	
397	Ranunculaceae	AQUILEGIA oxysepala	Garden	
398	Ranunculaceae	AQUILEGIA pyrenaica	Garden	
399	Ranunculaceae	AQUILEGIA pyrenaica dwarf	Garden	
400	Ranunculaceae	AQUILEGIA pyrenaica subsp. cazorlensis	Garden	
401	Ranunculaceae	AQUILEGIA pyrenaica subsp. guarensis	Garden	
402	Ranunculaceae	AQUILEGIA rockii	Garden	
403	Ranunculaceae	AQUILEGIA saximontana	Garden	
404	Ranunculaceae	AQUILEGIA scopulorum	Garden	
405	Ranunculaceae	AQUILEGIA scopulorum hybrid	Garden	
406	Ranunculaceae	AQUILEGIA triternata	Garden	
407	Ranunculaceae	AQUILEGIA viridiflora	Garden	
408	Ranunculaceae	AQUILEGIA viridiflora 	Garden	
409	Ranunculaceae	AQUILEGIA vulgaris	Garden	
410	Ranunculaceae	AQUILEGIA vulgaris hybrids	Garden	
411	Ranunculaceae	AQUILEGIA vulgaris mixed 	Garden	
412	Ranunculaceae	AQUILEGIA vulgaris pale blue double	Garden	
413	Ranunculaceae	AQUILEGIA vulgaris pink/white double	Garden	
414	Ranunculaceae	AQUILEGIA vulgaris white 	Garden	
415	Ranunculaceae	AQUILEGIA vulgaris 'Adelaide Addison'	Garden	
416	Ranunculaceae	AQUILEGIA vulgaris 'Bordeaux Barlow'	Garden	
417	Ranunculaceae	AQUILEGIA vulgaris 'Dorothy Rose'	Garden	
418	Ranunculaceae	AQUILEGIA vulgaris 'Icy Blue'	Garden	
419	Ranunculaceae	AQUILEGIA vulgaris 'Nora Barlow'	Garden	
420	Ranunculaceae	AQUILEGIA vulgaris 'Pink Barlow'	Garden	
421	Ranunculaceae	AQUILEGIA vulgaris 'Purple Barlow'	Garden	
422	Ranunculaceae	AQUILEGIA vulgaris 'Ruby Port'	Garden	
423	Ranunculaceae	AQUILEGIA vulgaris 'White Barlow'	Garden	
424	Ranunculaceae	AQUILEGIA vulgaris f. alba	Garden	
425	Ranunculaceae	AQUILEGIA vulgaris f. stellata	Garden	
426	Brassicaceae	ARABIS alpina	Garden	
427	Brassicaceae	ARABIS alpina subsp. caucasica	Garden	
428	Brassicaceae	ARABIS blepharophylla	Garden	
429	Brassicaceae	ARABIS koehleri	Garden	
430	Brassicaceae	ARABIS pumila	Garden	
431	Araliaceae	ARALIA cachemirica	Garden	
432	Ericaceae	ARBUTUS unedo	Garden	
433	Ericaceae	ARCTOSTAPHYLOS uva-ursi 'Snowcap'	Garden	
434	Caryophyllaceae	ARENARIA drypidea	Garden	
435	Caryophyllaceae	ARENARIA festucoides	Garden	
436	Papaveraceae	ARGEMONE ochroleuca	Garden	
437	Araceae	ARISAEMA amurense	Garden	
438	Araceae	ARISAEMA ciliatum	Garden	
439	Araceae	ARISAEMA ciliatum subsp. liubaense	Garden	
440	Araceae	ARISAEMA consanguineum	Garden	
441	Araceae	ARISAEMA consanguineum cf.	Garden	
442	Araceae	ARISAEMA costatum CC6224	Garden	
443	Araceae	ARISAEMA dracontium	Garden	
444	Araceae	ARISAEMA flavum	Garden	
445	Araceae	ARISAEMA flavum CC3946	Garden	
446	Araceae	ARISAEMA flavum dwarf form	Garden	
447	Araceae	ARISAEMA flavum subsp. abbreviatum	Garden	
448	Araceae	ARISAEMA heterophyllum	Garden	
449	Araceae	ARISAEMA jacquemontii ex Sikkim 4000m small	Garden	
450	Araceae	ARISAEMA propinquum	Garden	
451	Araceae	ARISAEMA robustum	Garden	
452	Araceae	ARISAEMA tortuosum	Garden	
453	Araceae	ARISAEMA triphyllum	Garden	
454	Araceae	ARISAEMA yunnanense ACE111	Garden	
455	Iridaceae	ARISTEA ecklonii	Garden	
456	Iridaceae	ARISTEA grandis	Garden	
457	Poaceae	ARISTIDA fendleriana	Garden	
458	Aristolochiaceae	ARISTOLOCHIA baetica	Garden	
459	Aristolochiaceae	ARISTOLOCHIA manshuriensis	Garden	
460	Plumbaginaceae	ARMERIA euscadiensis	Garden	
461	Plumbaginaceae	ARMERIA filicaulis	Garden	
