Number	Family Name	Name	Garden/Wild	Live material
1937	Hypericaceae	HYPERICUM coris	Garden	
1938	Hypericaceae	HYPERICUM empetrifolium subsp. tortuosum	Garden	
1939	Hypericaceae	HYPERICUM kotschyanum	Garden	
1940	Hypericaceae	HYPERICUM olympicum	Garden	
1941	Hypericaceae	HYPERICUM orientale	Garden	
1942	Hypericaceae	HYPERICUM rumeliacum subsp. apollinis	Garden	
1943	Hypoxidaceae	HYPOXIS hygrometrica	Garden	
1944	Hypoxidaceae	HYPOXIS rooperi	Garden	
1945	Lamiaceae	HYSSOPUS officinalis	Garden	
1946	Brassicaceae	IBERIS carnosa	Garden	
1947	Brassicaceae	IBERIS gibraltarica 'Betty Swainson'	Garden	
1948	Brassicaceae	IBERIS taurica	Garden	
1949	Brassicaceae	IBERIS umbellata	Garden	
1950	Malvaceae	ILIAMNA rivularis	Garden	
1951	Schisandraceae	ILLICIUM henryi	Garden	
1952	Schisandraceae	ILLICIUM majus WWJ11919	Garden	
1953	Balsaminaceae	IMPATIENS bicolor	Garden	
1954	Balsaminaceae	IMPATIENS scabrida	Garden	
1955	Bignoniaceae	INCARVILLEA sp. pink	Garden	
1956	Bignoniaceae	INCARVILLEA sp. pink & cream mix	Garden	
1957	Bignoniaceae	INCARVILLEA sp. white	Garden	
1958	Bignoniaceae	INCARVILLEA beresowskii	Garden	
1959	Bignoniaceae	INCARVILLEA compacta	Garden	
1960	Bignoniaceae	INCARVILLEA delavayi	Garden	
1961	Bignoniaceae	INCARVILLEA delavayi 'Bee's Pink'	Garden	
1962	Bignoniaceae	INCARVILLEA delavayi 'Snowtop'	Garden	
1963	Bignoniaceae	INCARVILLEA forrestii	Garden	
1964	Bignoniaceae	INCARVILLEA grandiflora	Garden	
1965	Bignoniaceae	INCARVILLEA himalayensis 'Frank Ludlow'	Garden	
1966	Bignoniaceae	INCARVILLEA mairei	Garden	
1967	Bignoniaceae	INCARVILLEA mairei subsp. mairei	Garden	
1968	Bignoniaceae	INCARVILLEA olgae	Garden	
1969	Bignoniaceae	INCARVILLEA zhongdianensis	Garden	
1970	Asteraceae	INULA acaulis subsp. caulescens	Garden	
1971	Asteraceae	INULA ensifolia	Garden	
