Seed #,Genus/species,Description,Origin
107,Allium obliquum (ex Ruksans),bright green to 1m 19,G
108,Allium ochotense,whitish-green 20-30cm 12 22,G
109,Allium oreophilum,rose-red 15-20cm 175,G
110,"Allium oreophilum (ex Tian Shan, Kyrgyzstan)",83,G
111,Allium ovalifolium v ovalifolium,white/pink 30-60cm 124,G
112,Allium pseudoflavum,pale yellow/greenish-yellow 20-50cm 3,G
113,Allium pskemense,white 40-100cm 66,G
114,Allium regelii,pale lilac-mauve/pinkish carmine 20-70cm 154,G
115,Allium scabriflorum,violet-blue/deep purple 10-25cm 35,G
116,Allium schoenoprasum,mix 20-50cm 156,G
117,Allium senescens,pink-purple 10-40cm 40 56 64,G
118,Allium setifolium,pale pink-red 5-10cm 63,G
119,Allium siculum,reddish/greenish-cream 50-120cm 11 169,G
120,Allium sp (ex China),light pink 50-60cm 152,G
121,Allium stellatum,deep pink 20-50cm 124 169,G
122,Allium subvillosum,white 5-40cm 67,G
123,Allium texanum,white 50-60cm 81,G
125,Allium togashii,pale pink/white 12-20cm 156 169,G
126,Allium tolmiei,white-pink/reddish mid-rib 5-40cm 134,G
127,Allium tripedale,pink-white 50-90cm 101,G
128,Allium tuberosum (PI),white 30-50cm 108 147,G
129,Allium unifolium,bright pink 20-80cm 64,G
130,Allium victorialis,white-greenish 30-70cm 117 118,G
131,Allium wallichii CGG 14029,pink to 50cm 6,G
132,Allium zebdanense,white 25-40cm 169,G
133,Aloinopsis malherbei,yellow/salmon-pink to 5cm 114,G
134,Alophia drummondii,purple 15-45cm 10 179,G
135,Alstroemeria hookeri (true),pink 25cm 64,G
136,Alstroemeria sp,candy pink 50-60cm 64,G
137,Alyssoides cretica,yellow flr/grey woolly lvs 15-20cm 185,G
138,Alyssoides utriculata,yellow 20-50cm >,G
139,Alyssum oxycarpum,yellow flr/silver lvs 10-20cm 77,G
140,Amsonia hubrichtii,pale blue 60-90cm 173,G
141,Amsonia tabernaemontana,light blue 60-90cm 184,G
142,Anacampseros rufescens,pink 5-8cm 100,G
143,Anchusa capensis,deep blue 30-45cm 121,G
144,Androsace carnea,pink 2-7cm 140,G
145,Androsace carnea ssp brigantiaca,white to 12cm 57,G
146,Androsace cylindrica,white 2-5cm 77,G
147,Androsace cylindrica ssp hirtella,white 7.5cm 77,G
148,Androsace cylindrica x pyrenaica,white 7.5cm 77,G
149,Androsace halleri,pink 2-10cm 15,G
150,Androsace lehmanniana,white/pink 2-7cm 77,G
151,Androsace septentrionalis,white 1-15cm 50 144,G
152,Androsace villosa,white to 3cm 118,G
153,Andryala agardhii,yellow flr/silver woolly lvs 8-15cm 63,G
154,Anemone baldensis,white 5-15cm 110,G
155,Anemone caroliniana,white 5-35cm 139,G
156,Anemone drummondii,white/tinged blue reverse 10-25cm 134,G
157,Anemone hortensis,mix 20-40cm 30,G
158,Anemone multifida,mix 10-40cm 118,G
159,Anemone multifida,red 10-40cm 12,G
160,Anemone multifida,white 10-40cm 69,G
161,Anemone multifida 'Major',cream-yellow 20cm 154,G
162,Anemone multifida 'Rubra',dark rose-pink to 30cm 26,G
163,Anemone multifida v tetonensis,red 10-20cm 77,G
164,Anemone multifida v tetonensis,red-purple/white-yellow/blue 10-20cm 57,G
165,Anemone narcissiflora ssp biarmiensis,white/soft yellow 15-50cm 41,G
166,Anemone narcissiflora ssp fasciculata,white 15-50cm 40,G
167,Anemone nemorosa,blue 5-15cm 140,G
168,Anemone nemorosa 'Robinsoniana' (moist packed),pale lavender-blue 15-20cm 169,G
169,Anemone rivularis,white/blue-mauve reverse 20-60cm 57,G
170,Anemone rivularis (ex Chris Chadwell),white to 60cm 103,G
171,Anemone rupicola,white/pink-violet reverse 5-25cm 89 95 112,G
172,Anemone rupicola (cf),white/blue reverse 60cm 82,G
173,Anemone sp,49,G
174,Anemone sylvestris,white 30-45cm 99,G
175,Anemonella thalictroides,pink 10-30cm 128 140,G
176,Anemonella thalictroides (moist packed),semi-double white 10-30cm 140,G
177,Anemonella thalictroides (moist packed),white 10-30cm 140,G
178,Anemonopsis macrophylla (moist packed),pale purple 40-80cm 88,G
179,Angelica pachycarpa,greenish-cream to 1m 156,G
180,Antennaria alpina,whitish 3-18cm 66,G
181,Antennaria aromatica,white-light brown flr/white woolly lvs 2-7cm 130,G
182,Antennaria dioica,pink-white flr/grey lvs 3-10cm 39 90,G
183,Antennaria dioica 'Nyewoods Variety',bright pink flr/grey lvs 10cm 95,G
184,Antennaria parvifolia,white-pink flr/grey woolly lvs 2-8cm 100,G
