Seed #,Genus/species,Description,Origin
468,Clematis recta 'Lime Close',white flr/dark purple lvs to 1.5m 175,G
469,Clematis recta 'Purpurea',white flr/purple new lvs to 1.5m 44 169 184,G
470,Clematis 'Rooguchi',indigo-violet/plum purple to 2.4m 5,G
471,Clematis scottii,dark violet-blue 15-65cm >,G
472,Clematis serratifolia,yellow 4-5m 184,G
473,Clematis tangutica,bright yellow 2-4m 63,G
474,Clematis texensis,rose-red/scarlet to 3m 50 70 84,G
475,Clematis tibetana v vernayi 'Glasnevin Dusk',purple-black 2-2.5m 67,G
476,Clematis versicolor,pale lavender-reddish purple/cream to 5m 51,G
477,Clematis viorna,reddish purple-lavender/cream-yellow to 4m >,G
478,Clematis viorna (chubby form),25,G
479,Cleome hirta,purplish-pink to 1.6m 26 92,G
480,Cleome houtteana,lavender to 150cm 21,G
481,Cleome houtteana,white to 150cm 21,G
482,Clethra alnifolia 'Ruby Spice',rose-pink 120-180cm 155,G
483,Clianthus puniceus,red/pink 0.8-3m 181,G
484,Clinopodium grandiflorum,pink 20-60cm 175,G
485,Clinopodium nepeta 'Marvellete Blue',blue-purple 15-20cm 8,G
486,Clintonia umbellulata,white-greenish white flr/black frt 27-60cm 153 169,G
487,Clintonia umbellulata (moist packed),white-greenish white flr/black frt 27-60cm 45,G
488,Clitoria ternatea,vivid deep blue to 3m 168,G
489,Codonopsis lanceolata,greenish-cream/purple inside to 1.5m 6 175,G
490,Codonopsis obtusa,pale blue/pale purple inside to 60cm 41,G
491,Codonopsis ovata,pale blue/purple veined 30-40cm 154,G
492,Colchicum cupanii,rose-lilac 6-10cm 72,G
493,"Colchicum luteum ""Vahsh'",yellow-orange 10-30cm 35,G
494,Colchicum sp mixed (autumn-blooming),lilac/pink/white 15-30cm 169,G
495,Collomia grandiflora,apricot 40cm 126,G
496,Colutea arborescens,yellow to 3m 159,G
497,Commelina coelestis,bright blue 30-60cm 175,G
498,Conoclinium coelestinum,blue-violet to 1m 147,G
499,Convolvulus boissieri,white-pink 2-10cm 112,G
500,Convolvulus compactus,white-rose flr/silver hirsute lvs to 8cm 100,G
501,Coreopsis lanceolata,yellow 10-60cm 180,G
502,Coreopsis tripteris,yellow 90-200cm 79,G
503,Cornus kousa,creamy white flr/pink-red frt 7.5-9m 125,G
504,Corydalis erdelii,pale pink-reddish purple 5-12cm 35,G
505,Corydalis nobilis,cream-yellow/dark tip 30-50cm 142 158,G
506,Corydalis oppositifolia,white-pink turns maroon 5-12cm 35,G
507,Corydalis solida (moist packed),mix 10-25cm 169,G
508,Corylopsis gotoana,yellow to 5m 178,G
509,Coryphantha sulcata,yellow/red 4-12cm 168,G
510,"Coryphantha sulcata (ex Wise Co, Texas)",yellow/red 15cm 28,G
511,Cosmos bipinnatus 'Lemonade',pale yellow 30-75cm 121,G
512,Cosmos sulphureus 'Tango',orange to 120cm 121,G
513,Cotoneaster permutatus (hort),deep red 1.5m 135,G
514,Cotula sp (ex South Africa),156,G
515,Cotyledon orbiculata (hardy zone 6),orange-red flr/grey-silver lvs 10-90cm 156,G
516,Crambe cordifolia,white to 2.5m 129,G
517,Crambe maritima,white flr/blue-green lvs to 75cm 183,G
518,Cremanthodium arnicoides,yellow 10-45cm 19 44 159,G
519,Cremanthodium arnicoides x delavayi,yellow 45cm 40,G
520,Cremanthodium decaisnei,yellow 6-25cm 19,G
521,Crinodendron patagua,white to 10m 128,G
522,Crocus caspius,white/lilac 10cm 72,G
523,Crocus fleischeri 'Gulek Pass',white/deep yellow throat 5-9cm 35,G
524,Crocus goulimyi ssp leucanthus,white-very pale lilac 10cm 73,G
525,Crocus hadriaticus,white/yellow throat 10cm 35,G
526,Crocus hadriaticus 'Celia',very pale lilac/violet-purple throat 10cm 35,G
527,Crocus hadriaticus 'Purple Heart',white/deep purple throat 10cm 35,G
528,Crocus kotschyanus,lilac 10cm 64,G
529,Crocus 'Negro Boy',dark purple 15cm 41,G
530,Crocus oreocreticus,lilac/silver 12-15cm 35,G
531,Crocus pulchellus 'Zephyr',greyish lilac 10cm 35,G
532,Crocus speciosus 'Artabir',pale violet-blue/purple veins 12cm 35,G
533,Crocus sublimis,pale lilac-blue 7-10cm 63,G
534,Crocus tommasinianus,pale lilac-deep purple to 10cm 122,G
535,Cryptotaenia japonica f atropurpurea,light pink-purple flr/purple lvs 30-60cm 175,G
536,Cunila origanoides,purple-lavender 20-40cm 156,G
537,Cyclamen cilicium (good leaf pattern),25,G
538,Cyclamen coum,mix 10cm 74,G
539,Cyclamen graecum,pink 6-16cm >,G
540,Cyclamen graecum 'Windmill',73,G
541,Cyclamen hederifolium,mix 8-20cm 25 41 159,G
542,Cyclamen hederifolium,white 8-20cm 41 83,G
543,Cyclamen hederifolium 'Artemis',white flr/double grey shield lvs 8-20cm 72,G
544,Cyclamen hederifolium 'Extreme',83,G
545,Cyclamen hederifolium 'Silver Arrow',pink 15cm 165,G
546,Cyclamen hederifolium Silver Leaf Group,mix 8-20cm 37,G
547,Cyclamen mirabile,pale-deep pink 5-13cm 41,G
548,Cyclamen persicum (ex CSE),72,G
549,Cyclamen persicum (ex wild form),pink 10cm 74,G
550,Cyclamen purpurascens,rose-pink/purple 4-18cm 68 72,G
551,Cyclamen repandum ssp peloponnesiacum,pink 10-20cm 63,G
552,Cyclamen repandum ssp rhodense,white/pale pink to 10cm 161,G
553,Cypella herbertii,golden yellow 30-50cm 170,G
554,Cypripedium kentuckiense,ivory-pale yellow/dark red-brown mottled sepal 35-97cm 168,G
555,Cyrilla racemiflora,white-cream to 10m 135,G
556,Cyrtanthus epiphyticus,reddish-orange 25-40cm 114,G
557,Dactylicapnos (Dicentra) macrocapnos,yellow 2-8m 64 3,G
558,Dactylicapnos (Dicentra) scandens,yellow 2-5m 175,G
559,Dactylorhiza purpurella,violet-purple to 45cm 82,G
560,Dalea candida,white 30-60cm 156,G
561,Dalea foliosa,purple 20-80cm 138,G
562,Dalea purpurea,rose-purple 20-90cm 112,G
563,Danae racemosa (moist packed),greenish flr/red frt to 120cm 166,G
564,Daphne alpina,white 40-60cm 77 142,G
565,Daphne cneorum,pink 15-20cm 118,G
566,Daphne domini,pale pink flr/orange frt 20-30cm 77 160,G
567,Daphne genkwa (Chinese form),lilac/lavender 30-100cm 185,G
568,Daphne kurdica,white 30-60cm 97 162,G
569,Daphne laureola,yellow-green 60cm 58 122,G
570,Daphne laureola ssp philippi,yellow-green 30-60cm 142,G
571,Daphne mezereum,pink-light purple 50-150cm 11,G
572,Daphne mezereum,white flr/yellow frt to 150cm 77 122 175,G
573,Daphne mezereum (compact form),white flr 185,G
574,"Daphne oleoides (ex  Mt Vermion, Greece)",white 30-60cm 77,G
575,Daphne pontica,yellow-green 50-100cm 142,G
576,Darmera peltata,white-pink 30-150cm 128,G
577,Dasylirion wheeleri,straw-tan flr/blue-grey lvs 1.5-5m 170,G
578,Daubenya aurea,mixed to 5cm 34,G
579,Daucus carota 'Dara' (PI),deep red fades to pink-white to 90cm 33 102,G
580,Daucus carota 'Purple Kisses' (PI),maroon 80-100cm 151,G
581,Daucus carota 'Rosea' (PI),rose-pink 40-100cm 172,G
582,Degenia velebitica,yellow flr/silver-grey lvs 5-10cm >,G
583,Delosperma congestum,yellow 5-10cm 184,G
584,Delphinium beesianum,blue/blue-purple 8-28cm 120,G
585,Delphinium elatum,blue 40-200cm 15,G
586,Delphinium elatum,purple 40-200cm 15,G
587,Delphinium exaltatum,pale lavender/purple 70-200cm 56 90 146,G
588,Delphinium exaltatum (moist packed),pale lavender/purple 70-200cm 138,G
589,Delphinium grandiflorum 'Blauer Zwerg',deep blue 30-40cm 9,G
590,Delphinium grandiflorum 'Blue Butterfly',deep blue 40cm 33,G
591,Delphinium likiangense,blue 10-50cm 154,G
592,Delphinium pylzowii,blue-purple/bluish-grey 20-55cm 156,G
593,Delphinium requienii,blue-grey to 120cm 121,G
594,Delphinium sp (ex Iran - summer dormant),pale pink 30cm 57,G
595,Delphinium speciosum,dark blue 10-60cm 57,G
596,Delphinium tatsienense,purple-blue 30-80cm 15,G
597,Deutzia hybrida (x) 'Magicien',pink/white edge flr 120-180cm 39,G
598,Dianthus alpinus,red 5-10cm 63,G
599,Dianthus alpinus,rich pink 5-10cm 144,G
600,Dianthus arenarius (cf),156,G
601,Dianthus barbatus,dark maroon 30-60cm 15,G
602,Dianthus barbatus,maroon 30-60cm 15,G
603,Dianthus barbatus,mix 30-60cm 77,G
604,Dianthus barbatus,pink 30-60cm 15,G
605,Dianthus barbatus,red 30-60cm 15,G
606,Dianthus barbatus,white 30-60cm 15,G
607,Dianthus brevicaulis,dark purple-pink 5-10cm 77,G
608,Dianthus callizonus,pink-carmine 5-10cm 77 144,G
609,Dianthus carthusianorum,pink-purple to 60cm 5 56 147,G
610,Dianthus chinensis,lavender blue 30-50cm 144,G
611,Dianthus chinensis 'Siberian Blue',lavender-blue/reddish-violet to 30cm 9 147 160,G
612,Dianthus crinitus,white/pinkish to 40cm 32,G
613,Dianthus deltoides,bright pink 15-25cm 57,G
614,Dianthus deltoides 'Arctic Fire',white/red-pink eye 15-20cm 159,G
615,Dianthus deltoides 'Vampir',deep red 15cm 162,G
616,Dianthus ferrugineus,dark ruby red to 50cm 105,G
617,Dianthus giganteus,pink-purple to 1m 144 153 156,G
618,Dianthus gratianopolitanus,deep rose-pink flr/blue-green lvs 6-25cm 67,G
619,Dianthus haematocalyx ssp pindicola,pinkish-purple 1-6cm 34,G
620,Dianthus integer ssp minutiflorus,white 5-20cm 105,G
621,Dianthus knappii,soft yellow to 40cm 156,G
622,Dianthus microlepis,pink-purple flr/silver-grey lvs to 10cm 32,G
623,Dianthus myrtinervius,deep-bright pink 5-15cm 109,G
624,Dianthus myrtinervius ssp caespitosus,deep pink 2-7cm 100,G
625,Dianthus nitidus,deep pink 7-15cm 79 156,G
626,Dianthus pavonius,pink-purple 2-25cm >,G
627,Dianthus 'Peppermint Star',pink/red center 20cm 147,G
628,Dianthus petraeus,white 10-15cm 41,G
629,Dianthus pinifolius,bright pink 25cm 144,G
630,Dianthus plumarius,mix 30-40cm 147,G
631,Dianthus plumarius,pink/maroon eye 15-30cm 147,G
632,Dianthus 'Rainbow Loveliness',pastel mix 30-45cm 155,G
633,Dianthus subacaulis 'Tight Blue',pink flr/blue lvs 5-10cm 32,G
634,Dianthus superbus,pink 25-45cm 64,G
635,Dianthus superbus,pure white 25-45cm 113,G
636,Dianthus superbus ssp alpestris,pink-lavender flr/grey lvs 25-45cm 185,G
637,Dianthus superbus ssp alpestris,white/red 20-25cm 69,G
638,Dianthus superbus ssp superbus,pink to 60cm 38,G
639,Dianthus sylvestris,pink to 10cm 100,G
640,Dicentra cucullaria (moist packed),white/yellow 8-30cm 169,G
641,Dicentra eximia,rose-pink 30-45cm 113,G
642,Dicranostigma lactucoides,yellow flr/blue-grey lvs 15-60cm 57,G
643,Dictamnus albus,white 60-90cm 122,G
644,Dierama igneum,pink-deep mauve to 90cm 128,G
645,Dierama pulcherrimum,rosy-purple 90-150cm 11,G
646,Dierama reynoldsii,deep magenta-purple flr/silver bract 1-2m 64,G
647,Dierama reynoldsii x floriferum,177,G
648,Dierama sp mixed,pink to 90cm 41,G
649,Dierama trichorhizum,mauve-pink to 60cm 45,G
650,Diervilla sessilifolia,yellow 90-150cm 125,G
651,Digitalis ciliata,pale yellow 30-60cm 57,G
652,Digitalis ferruginea,pale yellow-golden brown/rusty 90-150cm >,G
653,Digitalis grandiflora,pale yellow 70-120cm >,G
654,Digitalis hybrid,mixed 150cm 15,G
655,Digitalis lamarckii,cream-white/purplish-brown veins 25-80cm 65,G
656,Digitalis lanata,cream/purple-brown 30-60cm >,G
657,Digitalis lanata 'Cafe Creme',creamy-white/purple-brown veins 30-60cm 175,G
658,Digitalis lutea,pale yellow 60-90cm >,G
659,Digitalis mertonensis (x),copper-pink/rose 90-120cm 158,G
660,Digitalis minor 'Majorca',pink 20-30cm 170,G
661,Digitalis obscura,rusty dark orange/green-yellow 30-60cm 99,G
662,Digitalis parviflora,reddish brown 30-60cm 175,G
663,Digitalis parviflora 'Milk Chocolate',reddish-brown 60-90cm 41,G
664,Digitalis purpurea,purple-pink 1-2m 65,G
665,Digitalis purpurea,white 1-2m 13 125,G
666,Digitalis thapsi,pink flr/woolly lvs 30-60cm 156,G
667,Digitalis trojana,whitish/reddish-brown veins 30-80cm 175,G
668,Digitalis viridiflora,yellow-green 60-90cm 90,G
669,Dimorphotheca pluvialis,whitish/bluish-purplish reverse 5-20cm 64,G
670,Dionysia involucrata,violet-purple 1-5cm 77,G
671,Dipcadi serotinum,brown-pink/green-yellow 20-40cm 63,G
672,Diphylleia cymosa,white flr/blue frt to 120cm 128,G
673,Diplarrena moraea,white 50-100cm 175,G
674,Disporum uniflorum (moist packed),yellow 20-80cm 183,G
675,Dodecatheon alpinum,pink 10-35cm 154,G
676,Dodecatheon clevelandii,magenta/white 10-40cm 29,G
677,Dodecatheon conjugens,magenta/white 5-30cm 69,G
678,Dodecatheon dentatum,white 15-40cm 45 64,G
679,Dodecatheon meadia,pink 10-50cm 64 109,G
680,Dodecatheon meadia,white 10-50cm >,G
681,Dodecatheon pulchellum,magenta-lavender 10-45cm >,G
682,Douglasia laevigata (Central Oregon form),77,G
683,Douglasia laevigata v ciliolata,deep pink-rose 2-7cm 77,G
684,Douglasia montana,rose pink 2-5cm 77,G
685,Draba aizoides,yellow 5 -10cm 131,G
686,Draba arabisans,white 7-30cm 54,G
687,Draba bruniifolia (dwarf form),yellow 156,G
688,Draba bryoides,yellow 3-5cm 57 131,G
689,Draba compacta (cf),white 1-5cm 115,G
690,Draba cusickii,yellow 3-12cm 41,G
691,Draba densifolia,pale yellow 2-10cm 77,G
692,Draba hispanica,yellow 2-10cm >,G
693,Draba incerta,yellow flr/hairy lvs 4-14cm 46 169,G
694,Draba kitadakensis,white flr/grey-green lvs 10-15cm 40,G
695,Draba korabensis (hort),yellow 5-10cm 115,G
696,Draba mollissima,yellow 1-5cm 131,G
697,Draba novolympica,bright yellow to 4cm 169,G
698,Draba oligosperma,yellow/cream white 2-10cm 112,G
699,Draba paysonii,pale yellow 3cm 46,G
700,Draba polytricha,bright yellow 1-5cm >,G
701,Draba sphaeroides,yellow 3-8cm 57,G
702,Dracocephalum argunense,blue-purple 35-57cm 6 149,G
703,Dracocephalum argunense 'Fuji Blue',blue to 30cm 164,G
704,Dracocephalum forrestii,blue-purple 13-28cm 142,G
705,Dracocephalum renati,creamy white 20-25cm 156,G
706,Dracocephalum ruyschiana,blue-purple 15-25cm 95 124,G
707,Drimia haworthioides,green/white-purple 20-40cm 111,G
708,Drosera linearis,white 2-15cm 82,G
709,Dryas drummondii,yellow 2-23cm 118,G
710,Dryas 'Flava' (octopetala x drummondii),pale yellow 34,G
711,Dryas octopetala,white/cream 3-12cm 60 107 156,G
712,Drymocallis (Potentilla) arguta,creamy white-yellowish 30-100cm 93,G
713,Drymocallis (Potentilla) rupestris,white 18-45cm 93 122,G
714,Drymocallis (Potentilla) rupestris 'Nana',white 7-12cm 35 163,G
715,Dudleya cymosa,yellow/red 5-30cm 134,G
716,Dudleya pulverulenta,red 30-100cm 162,G
717,Dyckia 'Silver Superstar',orange flr/pale pink-silver lvs 15-20cm 162,G
718,Dysphania botrys,green 14-65cm 163,G
719,Eccremocarpus scaber,red-orange to 5m 128,G
720,Echeandia texensis 'Loma del Potrero Cerdado',yellow 90-150cm 170,G
721,Echinacea purpurea,pink-purple 50-120cm 155,G
722,Echinacea purpurea hybrid,magenta 108,G
723,Echinacea purpurea 'Rainbow Marcella' (Butterfly Series),raspberry pink-orange 40-45cm 95,G
724,Echinocactus parryi,yellow 20-30cm 171,G
725,Echinocactus texensis 'Kempo Form',red 10cm 171,G
726,Echinocactus texensis 'Mexico Ayanami Form',red 10cm 171,G
727,Echinocereus coccineus,pale yellow 20cm 78,G
728,Echinocereus engelmannii VZD881,red-magenta 25cm 171,G
729,Echinocereus hardy mix (coccineus/triglochidiatus/fendleri/reichenbachii/hybrids) ,red/purple/orange 10-30cm 86,G
730,Echinocereus reichenbachii (giant form),156,G
731,Echinops chantavicus (ex Kazakhstan),light blue 60-120cm 152,G
732,Echinops ritro,steel blue 90-120cm 47,G
733,Echinops tjanschanicus,light blue 1.5m 152,G
734,Echium amoenum,russet-red 15-40cm 35 46,G
735,Echium vulgare,blue-purple 30-90cm 156,G
736,Echium wildpretii 'Red Rocket',reddish flr/silvery lvs to 2m 33,G
737,Edraianthus glisicii,violet-blue 6-20cm 63,G
738,Edraianthus graminifolius,blue-violet 5-10cm 32 79,G
739,Edraianthus graminifolius 'Albus',white to 15cm 15,G
740,Edraianthus horvatii,blue-violet to 10cm 120,G
741,Edraianthus niveus,white 5-10cm 119,G
742,Edraianthus pumilio,violet-blue flr/silver lvs 1-3cm 34 41 63,G
743,Edraianthus serbicus,violet 10-15cm 32,G
744,Edraianthus serpyllifolius,deep violet 2-5cm 63,G
745,Edraianthus tenuifolius,blue-violet 5-20cm 15,G
746,Elsholtzia stauntonii,rose-purple 70-170cm 155,G
747,Elsholtzia stauntonii,white 70-170cm 183,G
748,Enemion biternatum (moist-packed),white 10-40cm 169,G
749,Enemion hallii,white 35-85cm 134,G
750,Enkianthus campanulatus,cream/rose veins 1.8-3m 64,G
751,Ennealophus euryandrus,blue-lavender 25-45cm 81,G
752,Ephedra monosperma,red cones to 15cm 93 130 172,G
753,Epipactis gigantea,green/purple/brown/pink/white 20cm 78,G
754,Epipactis gigantea,greenish-rose/red-brown 30-100cm 64,G
755,Eranthis hyemalis,yellow to 15cm 72 73,G
756,Eranthis hyemalis (moist packed),yellow 5-15cm 12 169,G
757,Eranthis pinnatifida (moist-packed),white petal/blue-purple anther 5-15cm 169,G
758,Eremogone (Arenaria) kingii,white/rarely pink 3-20cm 164,G
759,Eremogone (Arenaria) lychnidea,white 10-20cm 57,G
760,"Eremurus cristatus (ex Tian Shan, Kyrgyzstan)",83,G
761,Eremurus robustus,pale pink-white 2.5-3m 114,G
762,"Eremurus tianschanicus (ex Tian Shan, Kyrgyzstan)",83,G
763,Erigeron arenarioides,blue 6-25cm 112,G
764,Erigeron aureus,yellow flr/woolly grey lvs 1-15cm 140 144,G
765,Erigeron borealis,purple 15-25cm 54,G
766,Erigeron compositus,bluish 5-15cm 140,G
767,Erigeron compositus,pink 5-15cm 52 82,G
768,Erigeron compositus,violet 5-15cm 77,G
769,Erigeron compositus 'The Giant',white 25cm 134,G
770,Erigeron elegantulus,mix 3-15cm 112,G
771,Erigeron glaucus 'Olga',lavender to 30cm 156,G
772,Erigeron grandiflorus,purplish 2-25cm 154,G
773,Erigeron leiomerus,pale purple 4-12cm 130,G
774,Erigeron linearis,bright yellow-cream flr/greenish-white lvs 5-15cm 118 119,G
775,Erigeron nivalis,white-pinkish 5-25cm 119,G
776,Erigeron pinnatisectus,light blue-purplish 4-11cm 30 85 124,G
777,Erigeron pumilus (cf),156,G
778,Erigeron 'Rosa Juwel',rose pink 60cm 180,G
779,Erigeron scopulinus,white 0.5-3.5cm 52,G
780,Erigeron tener,blue-purple flr/grey-green lvs 2-15cm 100,G
781,Erigeron ursinus,pink-bluish purple 5-25cm 52 156,G
782,Erinus alpinus,mix 10-15cm 112 139,G
783,Erinus alpinus,rose-pink 10-15cm 30 131,G
784,Eriogonum allenii,yellow 30-50cm 156,G
785,Eriogonum heermannii v sulcatum,yellowish white 5-80cm 100,G
786,Eriogonum jamesii v jamesii,white-cream flr/white-grey woolly lvs 5-25cm 156,G
787,Eriogonum ovalifolium v nivale,cream 1-13cm 134,G
788,Eriogonum sphaerocephalum,pale-bright yellow 5-40cm 156,G
789,Eriogonum umbellatum 'Shasta Sulfur',lemon yellow to 30cm 156,G
790,Eriogonum umbellatum v aureum 'Kannah Creek',yellow turns orange/purple-red winter lvs 30-40cm 156,G
791,Eriogonum wrightii v wrightii,white-pink/rose flr/woolly lvs 15-50cm 156,G
792,Eriophyllum lanatum,yellow flr/woolly grey lvs 30-60cm 112 129 150,G
793,Eritrichium canum,blue 15-40cm 2,G
794,Eritrichium nanum,blue 1-10cm 15,G
795,Erodium manescavi,magenta-pink 20-45cm 9,G
796,Erodium trifolium,white/purple veins 35cm 168,G
797,Eryngium agavifolium,green/white 1m 129 181,G
798,Eryngium alpinum,blue 30-70cm 40 44,G
799,Eryngium amethystinum,light blue-purple 30-50cm 38,G
800,Eryngium aquaticum,white-purplish tinge to 120cm 138,G
801,Eryngium bourgatii,silver-blue 15-45cm 156,G
802,Eryngium giganteum,bluish-silver to 120cm 58 156 181,G
803,Eryngium pandanifolium,pale green-pinkish purple flr/grey-green lvs 90-180cm 38,G
804,Eryngium serra,green-white 90-180cm 38,G
805,Eryngium yuccifolium,greenish-white to 1.5m 47,G
806,Eryngium yuccifolium 'Kershaw Blue',tan flr/powder-blue lvs 60-150cm 170,G
807,Erysimum alpinum (hort),yellow 25cm 77,G
808,Erysimum arenicola,yellow 4-30cm 134,G
809,Erysimum arenicola x capitatum v purshii,flesh pink 20cm 77,G
810,Erysimum cheiri (x),yellow/red/orange 15-60cm 92,G
811,Erysimum helveticum,yellow 15-30cm 15,G
812,Erysimum kotschyanum,yellow flr/grey lvs 5-10cm 144,G
813,Erysimum marshallii (x),orange to 50cm 15 102,G
814,Erysimum pulchellum,golden yellow 5-15cm 77,G
815,Erythronium oregonum,cream/yellow base/mottled lvs 15-40cm 77,G
816,Erythronium revolutum,violet-pink 15-40cm 41 77,G
817,"Erythronium revolutum (ex Saddle Mtn, OR coast range)",pink 85,G
818,"Escobaria missouriensis (ex Hays Co, Texas)",yellow 10cm 28,G
819,"Escobaria missouriensis (ex House Rock Valley, Arizona)",yellow 5cm 28,G
820,Eucomis autumnalis,greenish-white to 60cm 81,G
821,Euonymus europaeus,yellowish-green flr/red-pink frt 3-6m 98,G
822,Euonymus sachalinensis,bright red frt 2-3m 159,G
823,Eupatorium hyssopifolium,white 50-100cm 5,G
824,Euphorbia mellifera,yellow-green to 3m 175,G
825,Ferocactus fordii,purple-pale pink to 40cm 171,G
826,Ferula sp (ex Kazakhstan),156,G
827,Fessia (Scilla) greilhuberi,blue-lilac to 25cm 68,G
828,Fibigia clypeata,yellow flr/grey woolly lvs 15-75cm 90 102 129,G
829,Fibigia eriocarpa,yellow flr/grey-green lvs 30-45cm 74,G
830,Foeniculum vulgare 'Purpureum',yellow flr/bronze lvs 90-180cm 117,G
831,"Fosterella sp (ex Monteagudo, Bolivia)",177,G
832,Frailea buenekeri ssp densispina (ex AH 0054),yellow 2cm 28,G
833,Frailea castanea (ex LB 640),yellow 1cm 28,G
834,Frailea phaeodisca (ex PR 533),yellow 1cm 28,G
835,Francoa appendiculata,pale pink/rose markings 60-90cm 175,G
836,Francoa sonchifolia,pink to 60cm 37 150,G
837,Franklinia alatamaha,creamy white 5-7m 62,G
838,Freesia alba,white/purple-yellow flush 12-40cm 10,G
839,Freesia grandiflora,red to 60cm 10 20,G
840,Freesia laxa,pink-cerise 20-35cm 6,G
841,Freesia laxa,red 20-35cm 11 114,G
842,Freesia laxa,white/red eye 20-35cm 175,G
843,Freesia laxa 'Joan Evans',white/red eye to 30cm 11,G
844,Freesia leichtlinii,cream 8-20cm 10,G
845,Fritillaria acmopetala,yellowish green-purplish brown 30-70cm 12 41,G
846,Fritillaria crassifolia,green-yellow/brown 3-10cm 83,G
847,Fritillaria eduardii,orange-red to 1m 97,G
848,Fritillaria imperialis,orange 40-100cm 114 160,G
849,Fritillaria imperialis 'Chopin' (Rascal Series),reddish orange 60-70cm 179,G
850,Fritillaria kurdica,yellowish-green/brown-purple 3-10cm 18,G
851,Fritillaria meleagris,mix 15-40cm 19 82,G
852,Fritillaria meleagris,purple checkered 15-40cm 64 65,G
853,Fritillaria meleagris,white 15-40cm 30 169,G
854,Fritillaria meleagris (v unicolor alba),pure white to 30cm 72,G
855,Fritillaria michailovskyi,brownish-purple/yellow 6-25cm 83,G
856,Fritillaria orientalis,reddish-brown checkered 15-40cm 3,G
857,Fritillaria pallidiflora,pale yellow 15-45cm >,G
858,Fritillaria persica,plum purple-grey green 30-90cm 169,G
859,Fritillaria pontica,pale green/maroon tinged 15-45cm >,G
860,Fritillaria pyrenaica,brownish-purple/yellow-greenish 15-40cm 73,G
861,Fritillaria raddeana,pale yellow 50-80cm 18 25,G
862,Fritillaria rhodocanakis,purplish-brown/yellow 10-15cm 18,G
863,"Fritillaria sewerzowii (ex Tian Shan, Kyrgyzstan)",83,G
864,Fritillaria thunbergii,pale yellow/slightly tessellated 15-80cm 3 25 114,G
865,Fritillaria whittallii,green-brown 10-35cm 41,G
866,Fumana thymifolia,yellow 20-30cm 112,G
867,Gaillardia grandiflora (x) 'Arizona Red Shades',crimson red 30cm 8,G
868,Galanthus 'Spindlestone Surprise',white/yellow tip & ovary to 30cm 41,G
869,Galatella (Aster) sedifolia,lavender-blue/pinkish-lilac 60-90cm 156,G
870,Galax urceolata,white 20-40cm 5,G
871,Galvezia juncea,bright red-scarlet to 1m 126,G
872,Gaultheria pyroloides,cream-light pink flr/white frt 10-30cm 64,G
873,Gaura biennis,white-rose 120-180cm 93,G
874,Gazania linearis,yellow/orange to 30cm 151,G
875,Gelasine elongata,bright blue-violet flr/grey-green lvs to 60cm 170,G
876,Gentiana acaulis,blue 2-8cm 107 154,G
877,Gentiana acaulis 'Undulatifolia',blue flr/wavy-edged lvs 2-8cm 54 89,G
878,Gentiana andrewsii,dark blue 30-60cm 75,G
879,Gentiana andrewsii,white 30-60cm 146,G
880,Gentiana angustifolia,deep sky blue to 10cm 154,G
881,Gentiana angustifolia (Leach BG hybrid),deep blue 7.5cm 54,G
882,Gentiana asclepiadea,dark blue-purple 50cm 175,G
883,Gentiana asclepiadea,deep blue 60-90cm 5 123,G
884,Gentiana asclepiadea,white 60-90cm 37 175,G
885,Gentiana asclepiadea (tall form),blue purple 100cm 175,G
886,Gentiana asclepiadea 'Knightshayes',deep blue 30-60cm 37 142,G
887,Gentiana asclepiadea 'Rosea',pink-rose 30-60cm 142 175,G
888,Gentiana autumnalis,deep blue 30-60cm 137,G
889,Gentiana cachemirica,blue 10-25cm 147,G
890,Gentiana clausa,blue-purple 30-60cm 113,G
891,Gentiana clusii,blue 5-10cm 154,G
892,Gentiana clusii 'Alboviolacea',pale pink/dark pink spotted throat & reverse 5cm 118,G
893,Gentiana cruciata,violet-blue 20-40cm 5 52 161,G
894,Gentiana cruciata 'Blue Cross',dark blue to 30cm 147 175,G
895,Gentiana dahurica,dark blue-purple 10-25cm 32 107,G
896,Gentiana decumbens (cf),57,G
897,Gentiana depressa,pale purple-blue 3-6cm 116 147,G
898,Gentiana gelida,pale yellow-cream to 40cm 119,G
899,Gentiana linearis,blue-purple 25-70cm 137,G
900,Gentiana lutea,yellow 1-2m 19 37,G
901,Gentiana nubigena,white 3-10cm 86,G
902,Gentiana paradoxa,blue 15-25cm 85 156,G
903,Gentiana paradoxa x septemfida,blue 10-20cm 156,G
904,Gentiana saponaria 'Shoal Creek',170,G
905,Gentiana septemfida,deep blue 15-30cm 156 158,G
906,Gentiana septemfida,white 15-30cm 156,G
907,Gentiana septemfida v lagodechiana,blue to 10cm 64,G
908,Gentiana siphonantha,dark blue-purple 10-25cm 119,G
909,Gentiana sp (ex Kazakhstan),156,G
910,Gentiana uchiyamae,blue-purple 30-70cm 45,G
911,Gentiana verna,deep blue 5-8cm 44 45 58,G
912,Gentiana verna,white 5-8cm 58,G
913,Gentiana villosa,greenish white/purple-green veins 30-60cm 170,G
914,Gentianopsis crinita,blue 30-60cm 137,G
915,Geranium brevicaule 'Nigricans',white flr/dark brown lvs 2.5-15cm 30,G
916,Geranium cinereum,pink flr/grey-green lvs to 15cm 61,G
