"item","taxon","description","origin"
129,"Allium unifolium","bright pink 20-80cm 64","G"
130,"Allium victorialis","white-greenish 30-70cm 117 118","G"
131,"Allium wallichii CGG 14029","pink to 50cm 6","G"
132,"Allium zebdanense","white 25-40cm 169","G"
134,"Alophia drummondii","purple 15-45cm 10 179","G"
135,"Alstroemeria hookeri (true)","pink 25cm 64","G"
136,"Alstroemeria sp","candy pink 50-60cm 64","G"
154,"Anemone baldensis","white 5-15cm 110","G"
155,"Anemone caroliniana","white 5-35cm 139","G"
156,"Anemone drummondii","white/tinged blue reverse 10-25cm 134","G"
3021,"Anemone drummondii","white 40cm Oregon: Dutchman Peak 2073m 127","W"
157,"Anemone hortensis","mix 20-40cm 30","G"
158,"Anemone multifida","mix 10-40cm 118","G"
159,"Anemone multifida","red 10-40cm 12","G"
160,"Anemone multifida","white 10-40cm 69","G"
161,"Anemone multifida 'Major'","cream-yellow 20cm 154","G"
162,"Anemone multifida 'Rubra'","dark rose-pink to 30cm 26","G"
163,"Anemone multifida v tetonensis","red 10-20cm 77","G"
164,"Anemone multifida v tetonensis","red-purple/white-yellow/blue 10-20cm 57","G"
165,"Anemone narcissiflora ssp biarmiensis","white/soft yellow 15-50cm 41","G"
166,"Anemone narcissiflora ssp fasciculata","white 15-50cm 40","G"
167,"Anemone nemorosa","blue 5-15cm 140","G"
168,"Anemone nemorosa 'Robinsoniana' (moist packed)","pale lavender-blue 15-20cm 169","G"
3022,"Anemone occidentalis","Washington: Chinook Pass, Pierce Co 1660m 177","W"
3023,"Anemone occidentalis","white 25cm Canada: Mt Thynne, BC 64","W"
169,"Anemone rivularis","white/blue-mauve reverse 20-60cm 57","G"
170,"Anemone rivularis (ex Chris Chadwell)","white to 60cm 103","G"
171,"Anemone rupicola","white/pink-violet reverse 5-25cm 89 95 112","G"
172,"Anemone rupicola (cf)","white/blue reverse 60cm 82","G"
173,"Anemone sp"," 49","G"
2110,"Anemone sp","red 25cm 188","G"
174,"Anemone sylvestris","white 30-45cm 99","G"
188,"Anthericum baeticum","white to 35cm 156","G"
189,"Anthericum liliago","white 60-90cm 93","G"
190,"Anthericum ramosum","white 30-70cm >","G"
193,"Anticlea (Zigadenus) elegans","cream-greenish 20-80cm 44 158","G"
221,"Aquilegia 'Origami Yellow'","soft yellow 35-45cm 99","G"
