bx_id|date_open|n_items_all|n_items_seed|n_items_bulb
BX 301|2011-12-31|19|13|6
BX 302|2012-02-01|23|19|4
BX 303|2012-02-17|27|25|2
BX 304|2012-03-09|23|15|8
BX 305|2012-03-22|21|14|7
BX 306|2012-04-01|15|12|3
BX 307|2012-04-09|18|18|
BX 308|2012-04-26|27|16|11
BX 309|2012-05-06|21|15|6
BX 310|2012-05-17|11|5|6
BX 311|2012-05-28|16|13|3
BX 312|2012-06-05|2||2
BX 313|2012-06-08|27|27|
BX 314|2012-06-22|27|4|23
BX 315|2012-06-27|10|10|
BX 316|2012-06-30|6|1|5
BX 317|2012-07-04|42|42|
BX 318|2012-07-19|30||30
BX 319|2012-07-29|19||19
BX 320|2012-08-09|42|41|1
BX 321|2012-08-23|30||30
BX 322|2012-09-06|31|30|1
BX 323|2012-09-18|34|34|
BX 324|2012-09-25|15||15
BX 325|2012-10-01|51|51|
BX 326|2012-10-13|22||22
BX 327|2012-10-25|24|22|2
BX 328|2012-11-08|22|18|4
BX 329|2012-11-25|26|24|2
BX 330|2012-12-01|42|40|2
BX 331|2012-12-11|11|9|2
BX 332|2013-01-22|15|14|1
BX 333|2013-02-22|26|20|6
BX 334|2013-03-20|21|19|2
BX 335|2013-04-01|23|20|3
BX 336|2013-04-18|17|5|12
BX 337|2013-05-05|18|10|8
BX 338|2013-05-15|33|6|27
BX 339|2013-05-28|21|8|13
BX 340|2013-07-03|16|9|7
BX 341|2013-07-22|40|35|5
BX 342|2013-08-12|18|1|17
BX 343|2013-08-21|22|21|1
BX 344|2013-09-01|26||26
BX 345|2013-09-06|41|7|34
BX 346|2013-09-16|39|23|16
BX 347|2013-09-25|41|41|
BX 348|2013-09-30|40|7|33
BX 349|2013-10-07|55|55|
BX 350|2013-10-14|71|71|
BX 351|2013-10-23|36||36
BX 352|2013-11-02|36|34|2
BX 353|2013-11-13|29|15|14
BX 354|2013-12-01|18|16|2
BX 355|2013-12-10|12|5|7
BX 356|2014-01-22|13|12|1
BX 357|2014-03-26|32|22|10
BX 358|2014-04-12|34|34|
BX 359|2014-04-26|12||12
BX 360|2014-05-05|20|20|
BX 361|2014-05-16|30|11|19
BX 362|2014-05-28|14||14
BX 363|2014-06-11|20|20|
BX 364|2014-07-01|25||25
BX 365|2014-07-19|10|10|
BX 366|2014-08-04|34||34
BX 367|2014-08-08|29||29
BX 368|2014-08-17|28||28
BX 369|2014-09-02|23||23
BX 370|2014-09-15|27|3|24
BX 371|2014-10-03|25|3|22
BX 372|2014-11-08|21|3|18
BX 373|2014-12-28|7|3|4
BX 374|2015-03-26|7|1|6
BX 375|2015-04-06|13|3|10
BX 376|2015-04-20|16|4|12
BX 377|2015-04-26|7||7
BX 378|2015-05-15|17||17
BX 379|2015-06-04|8|2|6
BX 380|2015-06-20|5|2|3
BX 381|2015-07-12|18|3|15
BX 382|2015-07-29|16|16|
BX 383|2015-08-09|9|1|8
BX 384|2015-08-19|12|5|7
BX 385|2015-09-02|10|1|9
BX 386|2015-09-27|23|4|19
BX 387|2015-10-15|24|9|15
BX 388|2015-10-23|19|6|13
BX 389|2015-10-28|24|19|5
BX 390|2015-11-06|20|20|
BX 391|2015-11-13|27|27|
BX 392|2015-11-24|26||26
BX 393|2015-12-01|24||24
BX 394|2016-01-23|14|12|2
BX 395|2016-02-22|26|2|24
BX 396|2016-03-29|12|3|9
BX 397|2016-04-28|16|1|15
BX 398|2016-05-11|11|3|8
BX 399|2016-05-23|10|1|9
BX 400|2016-06-03|23|23|
BX 401|2016-06-10|21|21|
BX 402|2016-06-20|15|3|12
BX 403|2016-06-28|25||25
BX 404|2016-07-19|25|2|23
BX 405|2016-08-11|13|4|9
BX 406|2016-08-17|26||26
BX 407|2016-08-24|24|3|21
BX 408|2016-08-29|23||23
BX 409|2016-09-17|18|1|17
BX 410|2016-09-24|18||18
BX 411|2016-10-06|23|2|21
BX 412|2016-10-26|28|7|21
BX 413|2016-11-07|14|5|9
BX 414|2017-01-08|9|9|
BX 415|2017-02-19|14|14|
BX 416|2017-04-11|24|1|23
BX 417|2017-05-04|16||16
BX 418|2017-06-16|32|2|30
BX 419|2017-07-15|17|4|13
BX 420|2017-07-24|35|35|
BX 421|2017-07-31|15|15|
BX 422|2017-08-18|22|12|10
BX 423|2017-08-27|29|1|28
BX 424|2017-09-05|30||30
BX 425|2017-09-13|27||27
BX 426|2017-09-19|28|1|27
BX 427|2017-10-06|17|1|16
BX 428|2017-10-13|7||7
BX 429|2017-10-30|11|3|8
BX 430|2017-11-05|25||25
BX 431|2017-11-08|25||25
BX 432|2017-11-13|25||25
BX 433|2017-11-18|16||16
BX 434|2018-01-02|18|5|13
BX 435|2018-01-14|9||9
BX 436|2018-02-04|19|18|1
BX 437|2018-03-27|13|4|9
BX 438|2018-04-22|15||15
BX 439|2018-05-08|11||11
BX 440|2018-05-24|13||13
BX 441|2018-06-25|20||20
