date_open,n_items
2011-12-17,0
2011-12-17,1
2011-12-17,0
2011-12-31,0
2011-12-31,19
2011-12-31,0
2012-02-01,0
2012-02-01,23
2012-02-01,0
2012-02-17,0
2012-02-17,27
2012-02-17,0
2012-03-09,0
2012-03-09,23
2012-03-09,0
2012-03-22,0
2012-03-22,21
2012-03-22,0
2012-04-01,0
2012-04-01,15
2012-04-01,0
2012-04-09,0
2012-04-09,18
2012-04-09,0
2012-04-26,0
2012-04-26,27
2012-04-26,0
2012-05-06,0
2012-05-06,21
2012-05-06,0
2012-05-17,0
2012-05-17,11
2012-05-17,0
2012-05-28,0
2012-05-28,16
2012-05-28,0
2012-06-05,0
2012-06-05,2
2012-06-05,0
2012-06-08,0
2012-06-08,27
2012-06-08,0
2012-06-22,0
2012-06-22,27
2012-06-22,0
2012-06-27,0
2012-06-27,10
2012-06-27,0
2012-06-30,0
2012-06-30,6
2012-06-30,0
2012-07-04,0
2012-07-04,42
2012-07-04,0
2012-07-19,0
2012-07-19,30
2012-07-19,0
2012-07-29,0
2012-07-29,19
2012-07-29,0
2012-08-09,0
2012-08-09,42
2012-08-09,0
2012-08-23,0
2012-08-23,30
2012-08-23,0
2012-09-06,0
2012-09-06,31
2012-09-06,0
2012-09-18,0
2012-09-18,34
2012-09-18,0
2012-09-25,0
2012-09-25,15
2012-09-25,0
2012-10-01,0
2012-10-01,51
2012-10-01,0
2012-10-13,0
2012-10-13,22
2012-10-13,0
2012-10-25,0
2012-10-25,24
2012-10-25,0
2012-11-08,0
2012-11-08,22
2012-11-08,0
2012-11-25,0
2012-11-25,26
2012-11-25,0
2012-12-01,0
2012-12-01,42
2012-12-01,0
2012-12-11,0
2012-12-11,11
2012-12-11,0
2013-01-22,0
2013-01-22,15
2013-01-22,0
2013-02-22,0
2013-02-22,26
2013-02-22,0
2013-03-20,0
2013-03-20,21
2013-03-20,0
2013-04-01,0
2013-04-01,23
2013-04-01,0
2013-04-18,0
2013-04-18,17
2013-04-18,0
2013-05-05,0
2013-05-05,18
2013-05-05,0
2013-05-15,0
2013-05-15,33
2013-05-15,0
2013-05-28,0
2013-05-28,21
2013-05-28,0
2013-07-03,0
2013-07-03,16
2013-07-03,0
2013-07-22,0
2013-07-22,40
2013-07-22,0
2013-08-12,0
2013-08-12,18
2013-08-12,0
2013-08-21,0
2013-08-21,22
2013-08-21,0
2013-09-01,0
2013-09-01,26
2013-09-01,0
2013-09-06,0
2013-09-06,41
2013-09-06,0
2013-09-16,0
2013-09-16,39
2013-09-16,0
2013-09-25,0
2013-09-25,41
2013-09-25,0
2013-09-30,0
2013-09-30,40
2013-09-30,0
2013-10-07,0
2013-10-07,55
2013-10-07,0
2013-10-14,0
2013-10-14,71
2013-10-14,0
2013-10-23,0
2013-10-23,36
2013-10-23,0
2013-11-02,0
2013-11-02,36
2013-11-02,0
2013-11-13,0
2013-11-13,29
2013-11-13,0
2013-12-01,0
2013-12-01,18
2013-12-01,0
2013-12-10,0
2013-12-10,12
2013-12-10,0
2014-01-22,0
2014-01-22,13
2014-01-22,0
2014-03-26,0
2014-03-26,32
2014-03-26,0
2014-04-12,0
2014-04-12,34
2014-04-12,0
2014-04-26,0
2014-04-26,12
2014-04-26,0
2014-05-05,0
2014-05-05,20
2014-05-05,0
2014-05-16,0
2014-05-16,30
2014-05-16,0
2014-05-28,0
2014-05-28,14
2014-05-28,0
2014-06-11,0
2014-06-11,20
2014-06-11,0
2014-07-01,0
2014-07-01,25
2014-07-01,0
2014-07-19,0
2014-07-19,10
2014-07-19,0
2014-08-04,0
2014-08-04,34
2014-08-04,0
2014-08-08,0
2014-08-08,29
2014-08-08,0
2014-08-17,0
2014-08-17,28
2014-08-17,0
2014-09-02,0
2014-09-02,23
2014-09-02,0
2014-09-15,0
2014-09-15,27
2014-09-15,0
2014-10-03,0
2014-10-03,25
2014-10-03,0
2014-11-08,0
2014-11-08,21
2014-11-08,0
2014-12-28,0
2014-12-28,7
2014-12-28,0
2015-03-26,0
2015-03-26,7
2015-03-26,0
2015-04-06,0
2015-04-06,13
2015-04-06,0
2015-04-20,0
2015-04-20,16
2015-04-20,0
2015-04-26,0
2015-04-26,7
2015-04-26,0
2015-05-15,0
2015-05-15,17
2015-05-15,0
2015-06-04,0
2015-06-04,8
2015-06-04,0
2015-06-20,0
2015-06-20,5
2015-06-20,0
2015-07-12,0
2015-07-12,18
2015-07-12,0
2015-07-29,0
2015-07-29,16
2015-07-29,0
2015-08-09,0
2015-08-09,9
2015-08-09,0
2015-08-19,0
2015-08-19,12
2015-08-19,0
2015-09-02,0
2015-09-02,10
2015-09-02,0
2015-09-27,0
2015-09-27,23
2015-09-27,0
2015-10-15,0
2015-10-15,24
2015-10-15,0
2015-10-23,0
2015-10-23,19
2015-10-23,0
2015-10-28,0
2015-10-28,24
2015-10-28,0
2015-11-06,0
2015-11-06,20
2015-11-06,0
2015-11-13,0
2015-11-13,27
2015-11-13,0
2015-11-24,0
2015-11-24,26
2015-11-24,0
2015-12-01,0
2015-12-01,24
2015-12-01,0
2016-01-23,0
2016-01-23,14
2016-01-23,0
2016-02-22,0
2016-02-22,26
2016-02-22,0
2016-03-29,0
2016-03-29,12
2016-03-29,0
2016-04-28,0
2016-04-28,16
2016-04-28,0
2016-05-11,0
2016-05-11,11
2016-05-11,0
2016-05-23,0
2016-05-23,10
2016-05-23,0
2016-06-03,0
2016-06-03,23
2016-06-03,0
